layer_index,layer_name,representation_kind,left_member_id,right_member_id,left_rank,right_rank,cka,cka_grouped_ci95_lower,cka_grouped_ci95_upper,outlier_trimmed_cka,bootstrap_group,probe_rows
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.289,1,31,0.9651128384258214,0.9641614042533735,0.9806496536745781,0.9586623388285853,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.393,1,32,0.9447086963529719,0.9386770929863584,0.9713488070546057,0.9335471104584784,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.406,1,33,0.9699413982473762,0.960674513963027,0.9838062974691917,0.9641587899419096,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.206,1,34,0.9311308810863875,0.933752858466266,0.963179591356498,0.9158831600167797,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.284,1,35,0.9628604086822107,0.9570915695092895,0.9827810196935797,0.9564212648935007,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.235,1,36,0.933576647842362,0.9352703665288435,0.9581834752350996,0.9289279605151652,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.405,1,37,0.9487693125679674,0.9425439234335932,0.9701400819027354,0.92754548620738,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.398,1,38,0.9427414786889259,0.9350144240258665,0.970037840367339,0.9286002548371531,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.358,1,39,0.9367925062856186,0.9301130251086922,0.9636973928820871,0.9239495801978058,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.242,1,40,0.93708956041901,0.9321569414956417,0.9654489065430145,0.9314123246223261,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.490,1,41,0.9465013361513973,0.9370404815462899,0.9706462646606825,0.9219270176314074,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.263,1,42,0.9324631343230847,0.9176419296111333,0.9596823759933503,0.9051027635025756,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.211,1,43,0.9553668720934501,0.9532638689634495,0.9747772146369257,0.9507735418347838,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.292,1,44,0.9581362547257365,0.9480741779519986,0.9748919707012274,0.9473916206080419,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.276,1,45,0.9687957524421252,0.9601770634669426,0.984594826241621,0.9635918693556491,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.427,1,46,0.9409222719614163,0.9359810105224853,0.9671820486230435,0.9322657086732189,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.461,1,47,0.9622698476412858,0.9615029630792056,0.9762109995188005,0.960325049454307,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.471,1,48,0.9339596789628207,0.921835390665703,0.9642967957965244,0.9064576914817182,equilibrium_files,64
