left_member_id,right_member_id,left_unit_id,right_unit_id,functional_similarity,activation_raw_similarity,activation_flux_residual_similarity,concept_density_similarity,causal_effect_similarity,equilibrium_bootstrap_recurrence,bootstrap_group,causal_effect_validity,consensus_gate,causal_effect_similarity_stable_or_near_floor,causal_effect_similarity_unstable,causal_regime_gate,pre_regime_consensus_gate
2864601_0.437,2864601_0.371,2864601_0.437:u000,2864601_0.371:u000,0.9163748220804405,0.8704036040558835,0.8616863634623242,0.9872014727552267,0.996537686369664,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,True,0.6601845604959665,0.5504751100792149,True,True
2864601_0.437,2864601_0.371,2864601_0.437:u001,2864601_0.371:u017,0.9723640783567007,0.9693551662638977,0.9502267811688583,0.9848441024340476,0.9976033682003215,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,True,0.6660537142642521,0.9329448200429199,True,True
2864601_0.437,2864601_0.371,2864601_0.437:u003,2864601_0.371:u004,0.9831683048420352,0.981424370889181,0.9740849677253275,0.9963652138877613,0.9862123024006518,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,True,0.867906941732334,0.8692722351214083,True,True
2864601_0.437,2864601_0.371,2864601_0.437:u006,2864601_0.371:u019,0.932325501037202,0.9115240044759984,0.8726123557611136,0.9886927091553689,0.9967302556749735,0.67,equilibrium_files,deliberately_off_manifold_diagnostic,False,0.5897195263660768,0.6038903576127559,True,False
2864601_0.437,2864601_0.371,2864601_0.437:u008,2864601_0.371:u015,0.7754590234121181,0.7132169910158336,0.6047699807473402,0.9125798339963819,0.9877348254194478,0.41,equilibrium_files,deliberately_off_manifold_diagnostic,False,0.4146857911269583,0.4173075827775431,False,False
2864601_0.437,2864601_0.371,2864601_0.437:u009,2864601_0.371:u010,0.9661812273613793,0.9522319288314918,0.9458921365099242,0.9988599013499158,0.9848601374448576,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,True,0.9570021412682821,0.8397425880532184,True,True
2864601_0.437,2864601_0.409,2864601_0.437:u000,2864601_0.409:u026,0.8949186383829569,0.8400275623791206,0.8319543381120097,0.9718565808758522,0.9947637603022371,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,False,0.4851726302996542,0.23690754643576892,False,True
2864601_0.437,2864601_0.409,2864601_0.437:u001,2864601_0.409:u021,0.9536675852399652,0.9451594959446843,0.9114799884316593,0.9858720535981667,0.9975066460371438,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,True,0.5219358278479813,0.7820592032747885,True,True
2864601_0.437,2864601_0.409,2864601_0.437:u002,2864601_0.409:u008,0.7995051512984077,0.6984571591766733,0.6974294787955782,0.9316783251549187,0.9720174743787431,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,False,0.2456065354457838,0.22898101594323605,False,True
2864601_0.437,2864601_0.409,2864601_0.437:u003,2864601_0.409:u017,0.9907477915039018,0.9894000462222964,0.9850805315066189,0.9997945444326347,0.9922235464935018,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,True,0.8142316712712673,0.8435822421432446,True,True
2864601_0.437,2864601_0.409,2864601_0.437:u005,2864601_0.409:u019,0.7902705806685909,0.675929377307049,0.6519836468435946,0.9707970674391985,0.9886862996777906,1.0,equilibrium_files,deliberately_off_manifold_diagnostic,False,0.1131849419947163,0.4158887472296844,False,True
