cohort,member_count,median_bottleneck_width,narrow_fraction,median_within_cohort_distance,clusters_present,median_cka__canonical_atrous_layer_1,median_cka__canonical_atrous_layer_2,median_cka__canonical_atrous_layer_3,median_cka__canonical_atrous_layer_4,median_cka__canonical_atrous_layer_5,median_cka__invariant_bottleneck
stored_validation_top_10,10,26.0,0.1,1.235200145159934,2|3,0.9529845413017374,0.9272586152796615,0.8960091337619022,0.8622013627866875,0.8610048788896998,0.7959777629144081
stored_validation_ranks_11_50,40,26.5,0.0,1.1076141962018986,2,0.9490869348267279,0.9260123396926249,0.9022535733885331,0.8605559075767887,0.8642523416961071,0.814018109987209
stored_validation_ranks_51_100,50,25.5,0.06,1.3017544942872257,1|2|4,0.9487924232000858,0.919814793344712,0.8887399793012292,0.8323570024616771,0.8651492641110593,0.8160269263693143
