perturbation,validity,outcome,member_id,regime,sample_count,signed_mean_change_native,rms_change_native,estimand
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.398,all,1000,-7.614493036101067e-09,2.2334599236728536e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.358,all,1000,-3.8743019903364484e-10,2.2391641607555357e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.242,all,1000,-5.871057418005421e-09,2.0723439320136094e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.490,all,1000,-7.599592066753758e-10,2.0042089943217434e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.263,all,1000,5.0514934457623895e-09,1.9626419600626832e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.211,all,1000,6.273388919453282e-09,1.719060662708216e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.292,all,1000,4.261732300392396e-09,1.7357902493131405e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.276,all,1000,7.674098023713327e-10,2.700287211609975e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.427,all,1000,1.7210841640746821e-09,1.6920118639518478e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.461,all,1000,-2.980232380322967e-11,2.2878111849422567e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.471,all,1000,-5.304813477380321e-09,1.721222844253134e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.440,all,1000,-5.558133064909043e-09,2.4566091383348976e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.457,all,1000,-5.4985282993413875e-09,1.860166918277173e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.400,all,1000,3.170222084847296e-09,1.7866815937850333e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.385,all,1000,-1.1920929132713809e-08,1.9404836848480045e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.350,all,1000,6.534158991655659e-09,1.7488100922946614e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.416,all,1000,1.4215707722087245e-08,2.9686614766433195e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.342,all,1000,2.5257467228811947e-09,2.0178794102321262e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.359,all,1000,1.043081288010228e-09,2.0347670215414837e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.475,all,1000,-1.1848285907944955e-08,1.9579543675263267e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.462,all,1000,-1.512467839859255e-08,2.4364788941966253e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.268,all,1000,-4.4703482582342247e-10,1.7753406211795664e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.262,all,1000,1.7881393032936899e-09,2.3163134699188959e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.485,all,1000,1.0028481156609814e-08,2.290163507723264e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.473,all,1000,-2.324581194201869e-09,2.3549681316126225e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.189,all,1000,-7.241964361526243e-09,2.5472706965956604e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.395,all,1000,-3.576278717609682e-10,2.0664853650487203e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.237,all,1000,-1.944601590864181e-09,1.677918106679499e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.372,all,1000,-8.493661884934056e-10,2.283998554730715e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.472,all,1000,4.947185328063597e-09,2.6715582635006285e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.436,all,1000,1.4051795282910007e-08,2.2608307403970684e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.454,all,1000,7.629394893626795e-09,2.0748602480580303e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.377,all,1000,1.6629696730774413e-08,2.3237308255374955e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.212,all,1000,-8.076429303116583e-09,1.967709408745577e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.123,all,1000,-6.064772684055697e-09,2.2331317950374796e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.288,all,1000,-1.1861324367146153e-08,2.2939659061194106e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.349,all,1000,-1.3768673312597457e-08,1.9143672602695005e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.510,all,1000,8.344650304081824e-09,3.0722711130692915e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.376,all,1000,8.19563861220729e-10,2.0534265843252797e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.305,all,1000,-2.7269124736051253e-09,2.027987164865408e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.496,all,1000,7.56979012805914e-09,2.1503156233393383e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.261,all,1000,2.071261384628542e-09,2.1900601154811739e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.252,all,1000,-9.149313306977547e-09,2.48802081159738e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.208,all,1000,2.9355287090027105e-09,2.491742066013103e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.230,all,1000,-1.3262033693450803e-09,2.0906227859995852e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.452,all,1000,1.4796852632059654e-08,1.972966714447466e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.498,all,1000,3.531575254456243e-09,2.7048912443206063e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.271,all,1000,8.583068478174027e-09,2.467876925038581e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.450,all,1000,-3.6954879156780862e-09,2.2639567021087714e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.46,all,1000,-1.0430812658057675e-08,2.6000881803156517e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.308,all,1000,-2.577900781730591e-09,1.9253026550813956e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.163,all,1000,2.2500752372422994e-09,2.186711753893178e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.246,all,1000,4.649162388403738e-09,1.471718746870465e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.438,all,1000,-3.218650901359865e-09,2.0648084841923264e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.362,all,1000,2.0638108999548876e-09,2.141474908512464e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.136,all,1000,-2.786517239172781e-09,1.8967193682328798e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.250,all,1000,-1.0684132689675607e-08,2.0560848668083054e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.247,all,1000,-7.756054465346551e-09,2.0946933432242076e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.382,all,1000,1.2218952516462878e-09,1.5242511608448694e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.307,all,1000,4.507601403247463e-09,2.278261632682188e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.339,all,1000,1.057982479402142e-09,1.8111930444320024e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.426,all,1000,3.6358833721550354e-09,2.3868665266491007e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.379,all,1000,-1.5430153155193693e-08,2.917024630733067e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,ensemble_spread,all_members_population_std,all,1000,5.559660352406903e-11,2.1344894812778997e-08,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.437,stable_or_near_floor,240,1.1796752907855534e-08,2.0723689431179082e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.371,stable_or_near_floor,240,-1.3162692269474974e-08,2.39934905721384e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.409,stable_or_near_floor,240,3.973643192267673e-09,1.6395792101775442e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.386,stable_or_near_floor,240,4.842877210364804e-09,2.4979638624245126e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.355,stable_or_near_floor,240,5.9604645663569045e-09,2.129702068032202e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.449,stable_or_near_floor,240,1.2914339819758425e-08,2.738464388585271e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.340,stable_or_near_floor,240,-8.443991283968444e-09,2.564847250141611e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.296,stable_or_near_floor,240,2.2972622915062857e-08,2.0029916925068392e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.270,stable_or_near_floor,240,2.5207798515225477e-08,2.26665875402432e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.352,stable_or_near_floor,240,1.4404455406236139e-08,2.5632596134528285e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.487,stable_or_near_floor,240,5.339582553887112e-09,2.961859593142435e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.272,stable_or_near_floor,240,3.526607983417307e-08,2.0797665456484538e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.404,stable_or_near_floor,240,1.614292521878724e-08,2.3177572927579604e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.274,stable_or_near_floor,240,1.502533741870593e-08,3.259973198055377e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.240,stable_or_near_floor,240,-4.0978194171259474e-09,2.2684540113004914e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.417,stable_or_near_floor,240,6.95387525340152e-09,1.2215316758101835e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.494,stable_or_near_floor,240,-1.5770394767855578e-08,2.842244271050731e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.260,stable_or_near_floor,240,-2.135833021554845e-08,2.6772372052619176e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.434,stable_or_near_floor,240,-9.43740197101306e-09,2.2315286685170577e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.460,stable_or_near_floor,240,8.816519958543267e-09,1.4596294306556956e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.402,stable_or_near_floor,240,3.725290298461914e-09,2.6176891765317123e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.279,stable_or_near_floor,240,-6.2088170160734535e-09,1.7769282578683487e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.353,stable_or_near_floor,240,-1.862645149230957e-09,2.447981444220204e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.175,stable_or_near_floor,240,-1.7136335017653437e-08,3.441491003286501e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.277,stable_or_near_floor,240,-5.4637592228345966e-09,2.409507544598455e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.463,stable_or_near_floor,240,-1.2665987370041876e-08,1.7735929702666908e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.229,stable_or_near_floor,240,2.4835268064293814e-08,2.638249156916572e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.224,stable_or_near_floor,240,-1.4404455406236139e-08,3.54259242385524e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.373,stable_or_near_floor,240,-6.208817349140361e-10,2.911197611865646e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.481,stable_or_near_floor,240,2.495944428915209e-08,2.3018154138298996e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.289,stable_or_near_floor,240,-3.526607983417307e-08,3.5766927908298385e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.393,stable_or_near_floor,240,-1.4901161193847656e-08,2.5422389171581017e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.406,stable_or_near_floor,240,2.4835269396561444e-09,1.926807158270094e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.206,stable_or_near_floor,240,-1.2169281582430358e-08,1.3673388821189292e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.284,stable_or_near_floor,240,1.4466544406843695e-08,3.168044884205301e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.235,stable_or_near_floor,240,1.8502275267451296e-08,1.829164375521941e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.405,stable_or_near_floor,240,-2.607703164514419e-09,1.361507315777999e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.398,stable_or_near_floor,240,-1.9619863067532606e-08,2.0464020167310082e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.358,stable_or_near_floor,240,-6.457169909879212e-09,2.5998150476880255e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.242,stable_or_near_floor,240,-4.594524760648255e-09,2.3633729995253816e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.490,stable_or_near_floor,240,4.34617203337595e-10,2.618978953705664e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.263,stable_or_near_floor,240,-1.862645149230957e-09,1.6123235013765225e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.211,stable_or_near_floor,240,1.2417634032146907e-08,2.0021602153974527e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.292,stable_or_near_floor,240,-4.0978194171259474e-09,2.0475771123074082e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.276,stable_or_near_floor,240,4.967053990334591e-10,3.552190150912793e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.427,stable_or_near_floor,240,6.829699028543246e-10,1.488904928237389e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.461,stable_or_near_floor,240,-2.1730859334212482e-09,2.601398136903299e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.471,stable_or_near_floor,240,-1.0927518445669193e-08,1.713741539788316e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.440,stable_or_near_floor,240,4.3461718668424965e-09,3.0175618803696125e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.457,stable_or_near_floor,240,2.2351742678949904e-09,2.420234750388772e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.400,stable_or_near_floor,240,-6.95387525340152e-09,1.810353182918334e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.385,stable_or_near_floor,240,-1.1051694670527468e-08,1.904494411064661e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.350,stable_or_near_floor,240,1.2045105357572083e-08,1.1563211188558853e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.416,stable_or_near_floor,240,4.780789097935667e-08,3.666059171791858e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.342,stable_or_near_floor,240,3.1044086745701804e-10,2.1588905951830384e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.359,stable_or_near_floor,240,1.775721791830165e-08,1.380939238515566e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.475,stable_or_near_floor,240,-4.759058214176548e-08,2.74974638614367e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.462,stable_or_near_floor,240,-1.6329188667896233e-08,3.2340582833967346e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.268,stable_or_near_floor,240,2.110997820992111e-09,1.733601351361358e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.262,stable_or_near_floor,240,-1.2417634975836478e-10,2.637477507505537e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.485,stable_or_near_floor,240,1.8253922817734747e-08,2.388605651049147e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.473,stable_or_near_floor,240,-1.3659398057086491e-09,3.1778859010955784e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.189,stable_or_near_floor,240,-3.079573218656151e-08,3.867418172376347e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.395,stable_or_near_floor,240,2.2351742678949904e-09,1.4945797488508106e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.237,stable_or_near_floor,240,-5.215406329028838e-09,1.3132198262155725e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.372,stable_or_near_floor,240,-2.086162531611535e-08,2.5217767074536823e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.472,stable_or_near_floor,240,7.450580707946131e-10,3.424242152050283e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.436,stable_or_near_floor,240,4.22199555316638e-08,2.7514070666256885e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.454,stable_or_near_floor,240,2.856055836275573e-09,1.7455147371947533e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.377,stable_or_near_floor,240,1.502533741870593e-08,3.001576089900482e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.212,stable_or_near_floor,240,-1.2665987370041876e-08,2.6835883204512356e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.123,stable_or_near_floor,240,-1.5522042540183634e-09,1.2999430509808008e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.288,stable_or_near_floor,240,-9.313225746154785e-09,1.8384473321475525e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.349,stable_or_near_floor,240,-1.5894572769070692e-08,2.1324805743461184e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.510,stable_or_near_floor,240,2.2351742678949904e-09,1.643636977632923e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.376,stable_or_near_floor,240,1.167257668299726e-08,2.1244827053124027e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.305,stable_or_near_floor,240,3.725290298461914e-09,2.5378679424648e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.496,stable_or_near_floor,240,1.7384687467369986e-08,2.2994829862454935e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.261,stable_or_near_floor,240,2.3841858265427618e-08,2.1621238488478411e-07,"native max(log Q, -2)"
random_joint_shift,exact_symmetry,member_native_prediction,2864601_0.252,stable_or_near_floor,240,2.315888814052869e-08,3.133276891276182e-07,"native max(log Q, -2)"
