outcome,heldout_r2,heldout_mae_native,folds,split_unit,feature_selection,features,ridge_alpha
ensemble_spread,0.4252087443880722,0.05594493872883191,5,equilibrium_files,none_frozen_before_residual_analysis,support_warning_score|a_over_lt|a_over_ln|q_stds|symmetry_error|motif_activation_dispersion|concept_activation_dispersion|nfp|iota|shat|d_pressure_d_s|aspect|rho|aspect_over_rho|equilibrium_class_one_hot,1.0
ensemble_absolute_error,0.09676712033818602,0.15608697017107992,5,equilibrium_files,none_frozen_before_residual_analysis,support_warning_score|a_over_lt|a_over_ln|q_stds|symmetry_error|motif_activation_dispersion|concept_activation_dispersion|nfp|iota|shat|d_pressure_d_s|aspect|rho|aspect_over_rho|equilibrium_class_one_hot,1.0
