member_id,row_id,function,perturbation,validity,signed_change_native,absolute_change_native,estimand
2864601_0.386,61258,original_f,random_joint_shift,exact_symmetry,0.2560783624649048,0.2560783624649048,"native max(log Q, -2)"
2864601_0.386,61355,original_f,random_joint_shift,exact_symmetry,0.18861031532287598,0.18861031532287598,"native max(log Q, -2)"
2864601_0.386,61366,original_f,random_joint_shift,exact_symmetry,-0.0011358261108398438,0.0011358261108398438,"native max(log Q, -2)"
2864601_0.386,61470,original_f,random_joint_shift,exact_symmetry,0.0008816719055175781,0.0008816719055175781,"native max(log Q, -2)"
2864601_0.386,61571,original_f,random_joint_shift,exact_symmetry,-0.05874323844909668,0.05874323844909668,"native max(log Q, -2)"
2864601_0.386,61728,original_f,random_joint_shift,exact_symmetry,0.0023920536041259766,0.0023920536041259766,"native max(log Q, -2)"
2864601_0.386,61855,original_f,random_joint_shift,exact_symmetry,-0.1160479187965393,0.1160479187965393,"native max(log Q, -2)"
2864601_0.386,61878,original_f,random_joint_shift,exact_symmetry,-0.006168365478515625,0.006168365478515625,"native max(log Q, -2)"
2864601_0.386,61893,original_f,random_joint_shift,exact_symmetry,0.022062838077545166,0.022062838077545166,"native max(log Q, -2)"
2864601_0.386,61911,original_f,random_joint_shift,exact_symmetry,-0.1364067792892456,0.1364067792892456,"native max(log Q, -2)"
2864601_0.386,62005,original_f,random_joint_shift,exact_symmetry,-0.0850076675415039,0.0850076675415039,"native max(log Q, -2)"
2864601_0.386,62017,original_f,random_joint_shift,exact_symmetry,0.5275301933288574,0.5275301933288574,"native max(log Q, -2)"
2864601_0.386,62074,original_f,random_joint_shift,exact_symmetry,-0.0426633358001709,0.0426633358001709,"native max(log Q, -2)"
2864601_0.386,62098,original_f,random_joint_shift,exact_symmetry,0.0039522647857666016,0.0039522647857666016,"native max(log Q, -2)"
2864601_0.386,62110,original_f,random_joint_shift,exact_symmetry,0.13520264625549316,0.13520264625549316,"native max(log Q, -2)"
2864601_0.386,62132,original_f,random_joint_shift,exact_symmetry,0.019785165786743164,0.019785165786743164,"native max(log Q, -2)"
2864601_0.386,62146,original_f,random_joint_shift,exact_symmetry,0.05792880058288574,0.05792880058288574,"native max(log Q, -2)"
2864601_0.386,62299,original_f,random_joint_shift,exact_symmetry,0.07859611511230469,0.07859611511230469,"native max(log Q, -2)"
2864601_0.386,62320,original_f,random_joint_shift,exact_symmetry,-0.06260824203491211,0.06260824203491211,"native max(log Q, -2)"
2864601_0.386,62325,original_f,random_joint_shift,exact_symmetry,-0.017084956169128418,0.017084956169128418,"native max(log Q, -2)"
2864601_0.386,62335,original_f,random_joint_shift,exact_symmetry,-0.07217025756835938,0.07217025756835938,"native max(log Q, -2)"
2864601_0.386,62422,original_f,random_joint_shift,exact_symmetry,5.364418029785156e-05,5.364418029785156e-05,"native max(log Q, -2)"
2864601_0.386,62436,original_f,random_joint_shift,exact_symmetry,0.001252889633178711,0.001252889633178711,"native max(log Q, -2)"
2864601_0.386,62439,original_f,random_joint_shift,exact_symmetry,-0.1552823781967163,0.1552823781967163,"native max(log Q, -2)"
2864601_0.386,62461,original_f,random_joint_shift,exact_symmetry,1.1920928955078125e-07,1.1920928955078125e-07,"native max(log Q, -2)"
2864601_0.386,62466,original_f,random_joint_shift,exact_symmetry,0.06562304496765137,0.06562304496765137,"native max(log Q, -2)"
2864601_0.386,62518,original_f,random_joint_shift,exact_symmetry,0.021987557411193848,0.021987557411193848,"native max(log Q, -2)"
2864601_0.386,62521,original_f,random_joint_shift,exact_symmetry,-0.0013623237609863281,0.0013623237609863281,"native max(log Q, -2)"
2864601_0.386,62584,original_f,random_joint_shift,exact_symmetry,-0.03816366195678711,0.03816366195678711,"native max(log Q, -2)"
2864601_0.386,62599,original_f,random_joint_shift,exact_symmetry,-0.02995014190673828,0.02995014190673828,"native max(log Q, -2)"
2864601_0.386,62677,original_f,random_joint_shift,exact_symmetry,0.0010957717895507812,0.0010957717895507812,"native max(log Q, -2)"
