row_id,equilibrium_file,equilibrium_class,stability,target_native,ensemble_mean_native,ensemble_spread_native,ensemble_absolute_error_native,failure_category,support_warning_score,a_over_lt,a_over_ln,q_stds,symmetry_error,motif_activation_dispersion,concept_activation_dispersion,nfp,iota,shat,d_pressure_d_s,aspect,rho,aspect_over_rho
138,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000034.h5,0,unstable,0.580196738243103,0.3153965,0.13312016460056728,0.2648002505302429,unanimous_success,0.625,5.538237571716309,2.0211374759674072,1.7863898277282715,0.009975731,0.32215583556921495,1.2747138083216711,2.0,-0.2913673918101626,-0.22001883662489294,-9431.207767941014,8.5261812210083,0.8330229201478808,10.23523004564473
337,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000085.h5,0,unstable,0.16910381615161896,0.12804933,0.09356464836880689,0.041054487228393555,unanimous_success,0.9375,0.7136915326118469,0.017881983891129494,1.184243083000183,0.015193552,0.11470307093495413,0.5044785671099261,2.0,-0.2956245851040346,0.002999247561698492,-27594.680985833766,7.931508541107178,0.14443430910788502,54.91429695684526
373,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000094.h5,0,unstable,1.5661884546279907,1.2906346,0.10949935866699805,0.275553822517395,unanimous_success,0.4375,1.5918151140213013,0.24173632264137268,4.7883620262146,0.014642477,0.1176335408006271,0.3489031647654655,2.0,-0.5051063283430164,0.005956513689029159,-25310.92460353794,5.783297538757324,0.2133943419275024,27.101456798334958
716,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000180.h5,0,unstable,-0.4449669122695923,-0.6856104,0.3981960548352656,0.24064350128173828,high_spread_low_error,0.5,1.4798033237457275,0.7736892700195312,0.6408454775810242,0.03436303,0.12891661031499219,0.6705896810182234,2.0,-0.2327423299532873,-0.2682542054432848,-3746.34592477863,3.9897096157073975,0.5793711109309665,6.886276413224168
1009,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000253.h5,0,stable_or_near_floor,-2.0,-1.5081012,0.24735045497570088,0.491898775100708,high_spread_low_error,0.4375,0.751020073890686,0.22401051223278046,2.008089978744465e-07,0.077732325,0.10324316778428824,0.6098532820958597,2.0,-0.2561463022061602,-0.002364943218946791,-3063.506840381188,3.437335252761841,0.10585360553121348,32.472538233459225
1267,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000319.h5,0,unstable,3.4547464847564697,3.5029843,0.11357438617539739,0.04823780059814453,unanimous_success,0.5,6.3204169273376465,0.17225003242492676,31.650264739990234,0.0012590885,0.29170665015481956,0.5931560012803696,2.0,-0.33179465723672014,0.31561060377321337,-997.2596612958761,9.709589958190918,0.8918645200202799,10.886844066820972
1392,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000350.h5,0,unstable,5.241615295410156,5.3690886,0.1484003228710532,0.1274733543395996,unanimous_success,0.640625,7.842799186706543,1.4213930368423462,188.97508239746094,0.042007446,0.1068905379583158,0.6894129551251474,2.0,-0.3484969816070905,-0.08655920313213573,-42575.19025420835,3.573892593383789,0.7126230211868665,5.01512368689901
1431,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000360.h5,0,unstable,2.150078296661377,2.2423353,0.0963135174509711,0.09225702285766602,unanimous_success,0.53125,3.043017625808716,1.5073133707046509,8.585530281066895,0.025632858,0.11231718153220012,0.6146182529038321,2.0,-0.417854443468902,-0.1161229929227237,-17206.301395391907,5.201717853546143,0.764929469401992,6.8002581435550535
1516,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000381.h5,0,unstable,-0.20077146589756012,0.08410559,0.2340257644345821,0.2848770543932915,high_spread_low_error,0.171875,1.1911922693252563,0.6629331707954407,0.8180993795394897,0.081250176,0.08687087445167706,0.5622811389725624,2.0,-0.22680600883329413,0.0018268618075943598,-8390.234762646063,3.4211745262145996,0.1510631064387814,22.64732009599602
1570,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000395.h5,0,unstable,1.618432879447937,1.6717912,0.11681300087219043,0.05335831642150879,unanimous_success,0.6875,2.44819712638855,1.4416491985321045,5.045177459716797,0.0574857,0.1027158221877928,0.7462575323463011,2.0,-0.3710566765173511,0.022011111625410487,-41119.908364276795,3.4973411560058594,0.6522374432542059,5.362067437521814
