spread_quintile,sample_count,mean_spread_native,mean_absolute_error_native,mean_error_to_mean_spread_ratio,fraction_error_exceeds_spread
1,200,0.02461212399398191,0.016162807941436767,0.6567010610457209,0.05
2,200,0.07328994787247498,0.08479813504964114,1.1570227229140684,0.485
3,200,0.10552597302259485,0.14995113870420027,1.4209879748949887,0.5
4,200,0.15756615106012486,0.24257231686264277,1.5394950960633724,0.605
5,200,0.2916340050840182,0.4483217665553093,1.5372753476610184,0.605
