feature,outcome,regime,sample_count,spearman,interval_lower,interval_upper,finite_resamples,resampling_unit,interval_kind,feature_selection
a_over_lt,ensemble_spread,stable_or_near_floor,240,0.13199708328269585,0.008168728471660877,0.24958334390315734,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_lt,ensemble_absolute_error,stable_or_near_floor,240,0.10991949075483713,-0.016268318106700576,0.23279955535945723,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_ln,ensemble_spread,stable_or_near_floor,240,-0.2578924981336481,-0.3661094916540644,-0.14131367250559423,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_ln,ensemble_absolute_error,stable_or_near_floor,240,-0.22416544738862476,-0.337811054613398,-0.09191401090375366,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
q_stds,ensemble_spread,stable_or_near_floor,240,0.6356698901022586,0.5641803649200744,0.7074330302041564,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
q_stds,ensemble_absolute_error,stable_or_near_floor,240,0.6274590823882439,0.5362630437069827,0.7077546356204744,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
symmetry_error,ensemble_spread,stable_or_near_floor,240,0.6954438178659732,0.6075201182227566,0.7653378045314706,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
symmetry_error,ensemble_absolute_error,stable_or_near_floor,240,0.6253290806490077,0.5200633759932279,0.716676929211732,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
motif_activation_dispersion,ensemble_spread,stable_or_near_floor,240,0.02617580166322331,-0.08903943736863713,0.15459537853119767,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
motif_activation_dispersion,ensemble_absolute_error,stable_or_near_floor,240,-0.08859011814013149,-0.2015695116896552,0.04229963195491951,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
concept_activation_dispersion,ensemble_spread,stable_or_near_floor,240,0.24393131825205297,0.12935390203928798,0.35301876545900424,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
concept_activation_dispersion,ensemble_absolute_error,stable_or_near_floor,240,0.07628955202762573,-0.05264997210832113,0.20547096703242806,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
nfp,ensemble_spread,stable_or_near_floor,240,-0.0803354471370394,-0.21110770929788228,0.055195298967350044,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
nfp,ensemble_absolute_error,stable_or_near_floor,240,-0.012938355516408276,-0.1337201261154644,0.12807442489237586,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
iota,ensemble_spread,stable_or_near_floor,240,0.07369485581346896,-0.049977447886017455,0.20609556389646427,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
iota,ensemble_absolute_error,stable_or_near_floor,240,0.02486111949040994,-0.11877336887138079,0.13606178021721224,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
shat,ensemble_spread,stable_or_near_floor,240,0.0781011823121929,-0.04167020742498429,0.19598806671794353,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
shat,ensemble_absolute_error,stable_or_near_floor,240,0.060395171962701194,-0.05930227861637392,0.1867853222931884,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
