member_id,stratifier,level,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
ensemble_mean,stability,stable_near_floor,3170.0,-877.1132519826731,0.023257924682793016,0.03454271726477715,-0.013478271961212158,-0.00597245693206787,-0.0006797313690185547,0.0017705559730529785,0.00717395544052124,0.177866119146347,0.6677565777301784
ensemble_mean,stability,unstable,6615.0,0.9782375830141454,0.06541767139377745,-0.008663668382677228,-0.8293350957334041,-0.3704359710216522,-0.0995490550994873,-0.0021240711212158203,0.09938043355941772,0.3326839059591291,0.6410026973485936
ensemble_mean,flux_regime,high_flux,2205.0,0.922863596031235,0.05531925079660186,-0.023344760727720196,-0.9539390277862548,-0.3041102409362793,-0.08170890808105469,-0.004987478256225586,0.07181382179260254,0.23614039421081523,0.492657051086426
ensemble_mean,flux_regime,low_flux,2205.0,0.8160201637643782,0.09913053565249794,0.00860280604052881,-0.8786877501010895,-0.4975686430931091,-0.1399718038737774,0.008707553148269653,0.16544973850250244,0.46713744401931745,0.9069705104827885
ensemble_mean,flux_regime,medium_flux,2205.0,0.8169658261042928,0.04180322773223258,-0.011249050460840298,-0.5818622231483459,-0.28155539035797117,-0.09199345111846924,-0.0061827898025512695,0.08231639862060547,0.2546489715576172,0.47185585975647126
ensemble_mean,flux_regime,near_threshold,29.0,-85.23818473858303,0.0446014208372855,0.15599624452919797,-0.03277457237243652,-0.02773799896240234,0.05091691017150879,0.13832664489746094,0.2572321891784668,0.41220650672912595,0.48006264686584466
ensemble_mean,flux_regime,stable_floor,3141.0,nan,0.023060865979042527,0.03342136983062618,-0.012714242935180664,-0.005948066711425781,-0.0006964206695556641,0.0017167329788208008,0.006728649139404297,0.17183637619018555,0.6700626850128166
ensemble_mean,a_over_LT_tertile,0,3262.0,0.9364579882583618,0.058158611236260954,0.006224301004384609,-0.7529180180793628,-0.30591705143451686,-0.0034009814262390137,0.0009132027626037598,0.015352904796600342,0.3046499453485012,0.7784608387947082
ensemble_mean,a_over_LT_tertile,1,3261.0,0.9791842035484802,0.058156939244286845,0.008167059201028838,-0.7081248879432678,-0.3012428358197212,-0.0702676773071289,0.002784252166748047,0.08082658052444458,0.3399422679794952,0.7249235570430783
ensemble_mean,a_over_LT_tertile,2,3262.0,0.9867410996738912,0.038964545918451596,0.001610606206951584,-0.5990018674731254,-0.27398884296417236,-0.07553866505622864,0.004815936088562012,0.08714240789413452,0.27105315923690765,0.5095795110613107
ensemble_mean,a_over_Ln_tertile,0,3262.0,0.9831419541994633,0.08152299667036082,0.005178339805251021,-0.9333101099729538,-0.3665281035006046,-0.03955010324716568,0.0018422603607177734,0.07056105136871338,0.387528908252716,0.8590733176469795
ensemble_mean,a_over_Ln_tertile,1,3261.0,0.9906393785013633,0.04299788450584035,0.004876676036832624,-0.5888718485832214,-0.24177122116088867,-0.05621790885925293,0.0007727146148681641,0.062170982360839844,0.2610996961593628,0.6046667695045482
ensemble_mean,a_over_Ln_tertile,2,3262.0,0.9937842392384478,0.030754568057029228,0.005945941869127433,-0.5566655817627907,-0.2509869396686554,-0.047866418957710266,0.0018543004989624023,0.05941551923751831,0.2810411781072616,0.5274485903978344
ensemble_mean,equilibrium_class,0,5033.0,0.988074869257939,0.058417495938824136,0.0005478138846416765,-0.7790283584594726,-0.3234233379364014,-0.05874776840209961,0.0019336938858032227,0.069549560546875,0.3297053873538969,0.6465772151947043
