stable_id,gradient_set,split,row_id,equilibrium_file,tube_file,equilibrium_class,actual_log_Q,a_over_LT_model,a_over_Ln_model,FSA_grad_x,nfp,iota,shat,d_pressure_d_s,aspect,rho,aspect/rho
fixed:88047,fixed,train,88047,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000795.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000795_theta0_3.14_zeta0_0.00_js_00_len75.40_nz97.pkl,4,2.3855690956115723,-3.0,0.8999999761581421,1.2362720966339111,3.0,0.35853520035743713,-0.544787585735321,-29937.1171875,6.6666741371154785,0.7417874336242676,8.987310409545898
fixed:88057,fixed,test,88057,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000798.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000798_theta0_0.00_zeta0_0.00_js_00_len75.40_nz97.pkl,4,1.9965521097183228,-3.0,0.8999999761581421,1.2316923141479492,3.0,0.5122352838516235,0.012673934921622276,-18345.16015625,6.666680812835693,0.261523574590683,25.491701126098633
fixed:88206,fixed,train,88206,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000835.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000835_theta0_0.00_zeta0_1.05_js_00_len75.40_nz97.pkl,4,2.2474515438079834,-3.0,0.8999999761581421,1.2588136196136475,3.0,0.6093703508377075,-0.37524476647377014,-38535.13671875,6.666674613952637,0.7948494553565979,8.38734245300293
fixed:88368,fixed,train,88368,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000875.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000875_theta0_3.14_zeta0_1.05_js_00_len75.40_nz97.pkl,4,3.6855082511901855,-3.0,0.8999999761581421,1.5608752965927124,3.0,0.8119590878486633,-0.08331296592950821,-51857.6328125,6.666679859161377,0.6791685819625854,9.815942764282227
fixed:88391,fixed,train,88391,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000881.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000881_theta0_3.14_zeta0_0.00_js_00_len75.40_nz97.pkl,4,3.169395685195923,-3.0,0.8999999761581421,2.0364632606506348,3.0,0.9271222949028015,0.07499494403600693,-36029.484375,6.666673183441162,0.5430840253829956,12.275583267211914
fixed:88421,fixed,train,88421,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000889.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000889_theta0_0.00_zeta0_0.00_js_00_len75.40_nz97.pkl,4,1.831789255142212,-3.0,0.8999999761581421,1.0256047248840332,3.0,0.8899338245391846,0.058267123997211456,-12541.2236328125,6.666675567626953,0.8021543622016907,8.31096363067627
fixed:88529,fixed,train,88529,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000916.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000916_theta0_0.00_zeta0_0.00_js_00_len75.40_nz97.pkl,4,-0.2228899449110031,-3.0,0.8999999761581421,0.9948026537895203,3.0,0.44932836294174194,-0.12014012038707733,-24187.39453125,10.0,0.44302448630332947,22.572114944458008
fixed:88570,fixed,train,88570,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000926.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000926_theta0_0.00_zeta0_1.05_js_00_len75.40_nz97.pkl,4,0.16228234767913818,-3.0,0.8999999761581421,1.0678073167800903,3.0,0.4514128267765045,-0.010828197002410889,-56635.32421875,9.999999046325684,0.1941128820180893,51.51641082763672
fixed:88603,fixed,train,88603,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000934.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000934_theta0_3.14_zeta0_0.00_js_00_len75.40_nz97.pkl,4,2.276716947555542,-3.0,0.8999999761581421,1.186299204826355,3.0,0.521960437297821,-0.02329842746257782,-37488.56640625,9.999998092651367,0.2130887359380722,46.92879867553711
fixed:88606,fixed,train,88606,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000935.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000935_theta0_0.00_zeta0_1.05_js_00_len75.40_nz97.pkl,4,0.9261824488639832,-3.0,0.8999999761581421,1.1360965967178345,3.0,0.4708341062068939,-0.00782766193151474,-48176.046875,9.999998092651367,0.12289663404226303,81.36917877197266
