member_id,unit_id,stratum,concept,rank_correlation_zero_lag,overlap_at_fixed_sparsity,sparsity,best_lag,lag_correlation,partial_rank_correlation,validity_tag,bootstrap_group,bootstrap_recurrence,lag_correlation_ci95_lower,lag_correlation_ci95_upper
2864601_0.437,2864601_0.437:u000,overall,compression_abs_grad_x_p3__mean_w25,-0.07187895803633601,0.07379999999999999,0.05,17,-0.18102250214015145,-0.1557157761641667,observed-comparison,equilibrium_files,0.0,-0.20801348170874895,-0.15014784608683301
2864601_0.437,2864601_0.437:u000,overall,compression_abs_grad_x_p4,-0.04543918951281314,0.0586,0.05,16,-0.11228553598486862,-0.09244959611813522,observed-comparison,equilibrium_files,0.0,-0.12981377700329205,-0.0940883391208009
2864601_0.437,2864601_0.437:u000,overall,compression_abs_grad_x_p4__mean_w9,-0.052890243417890066,0.0584,0.05,17,-0.1374060240725306,-0.11428646137726974,observed-comparison,equilibrium_files,0.0,-0.15802575202579938,-0.11473305334334438
2864601_0.437,2864601_0.437:u000,overall,compression_abs_grad_x_p4__mean_w25,-0.07069315252988885,0.07659999999999999,0.05,18,-0.18158520834892466,-0.16001201476971502,observed-comparison,equilibrium_files,0.0,-0.20951944506387823,-0.1516495958805151
2864601_0.437,2864601_0.437:u000,overall,local_shear_dz_gds21_over_gds22,-0.055760175339939745,0.041,0.05,-41,0.03337287600441159,0.07231307004303386,observed-comparison,equilibrium_files,0.0,0.02648586795464448,0.04074191256131684
2864601_0.437,2864601_0.437:u000,overall,local_shear_dz_gds21_over_gds22__mean_w9,-0.05079673336107322,0.0444,0.05,-41,0.05908327409238628,0.06130033914451426,observed-comparison,equilibrium_files,0.0,0.048950663367428496,0.06913701573827939
2864601_0.437,2864601_0.437:u000,overall,local_shear_dz_gds21_over_gds22__mean_w25,-0.08306446589986334,0.06620000000000001,0.05,6,-0.10164343120739242,-0.07330620923674241,observed-comparison,equilibrium_files,0.0,-0.11885918800139668,-0.08524173796214775
2864601_0.437,2864601_0.437:u000,overall,abs_local_shear,0.07499049620761689,0.07080000000000002,0.05,18,0.09342331003203735,0.11556321499479447,observed-comparison,equilibrium_files,0.0,0.0814491370943137,0.10503102293888657
2864601_0.437,2864601_0.437:u000,overall,abs_local_shear__mean_w9,0.09417740608846104,0.07019999999999998,0.05,18,0.15955723150200388,0.1493088529177915,observed-comparison,equilibrium_files,0.0,0.13882218987060013,0.17869211397291643
2864601_0.437,2864601_0.437:u000,overall,abs_local_shear__mean_w25,0.12188941331240395,0.065,0.05,13,0.21808637634197509,0.19157661332813047,observed-comparison,equilibrium_files,0.0,0.18859559234211706,0.24358154077962477
