member_id,unit_id,stratum,n,signed_invariant_minus_native_mean,rms_invariant_minus_native,pearson_invariant_vs_native,native_object,invariant_object
2864601_0.371,2864601_0.371:u001,overall,1000,0.000732966756913811,0.02080841176211834,0.9117803041270364,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u001,stable_or_near_floor,240,0.002962541999295354,0.02050035074353218,0.8138363061431597,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u001,unstable,760,2.8890410249005072e-05,0.020904751494526863,0.9262175877598887,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u002,overall,1000,-0.004014209378510714,0.08380133658647537,0.9662122869384182,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u002,stable_or_near_floor,240,0.0003899685980286449,0.06763582676649094,0.982373562674609,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u002,unstable,760,-0.005405001807957888,0.08829346299171448,0.9592770018880207,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u003,overall,1000,-0.01341494731605053,0.17903295159339905,0.979811143061295,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u003,stable_or_near_floor,240,-0.011706759221851826,0.17384441196918488,0.9842958264443956,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u003,unstable,760,-0.013954375870525837,0.18064048886299133,0.977576896593927,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u004,overall,1000,-0.003576369024813175,0.06603347510099411,0.9992644311458483,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u004,stable_or_near_floor,240,-0.003311845241114497,0.06965672969818115,0.9995194058780561,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u004,unstable,760,-0.0036599028389900923,0.06484725326299667,0.9990522438128803,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u005,overall,1000,-0.011676548048853874,0.19539006054401398,0.9735824287348781,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u005,stable_or_near_floor,240,-0.00886236410588026,0.15351387858390808,0.9855379995160315,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u005,unstable,760,-0.01256523746997118,0.20686034858226776,0.9692164703872775,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u008,overall,1000,-0.0020334862638264894,0.045999038964509964,0.8696697764215692,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u008,stable_or_near_floor,240,-0.0006591552519239485,0.020390061661601067,0.9888902083185167,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u008,unstable,760,-0.0024674858432263136,0.05150536820292473,0.8254355269933088,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u009,overall,1000,-0.013245644047856331,0.14097067713737488,0.9657575872389859,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u009,stable_or_near_floor,240,-0.011316480115056038,0.10253842920064926,0.975830510707332,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u009,unstable,760,-0.013854853808879852,0.1510896384716034,0.9637041259047473,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u010,overall,1000,-0.0010660361731424928,0.036949124187231064,0.997934894474985,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u010,stable_or_near_floor,240,-0.002315599238499999,0.03827563673257828,0.9988631949247617,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u010,unstable,760,-0.0006714373012073338,0.03652021661400795,0.997071053736798,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u011,overall,1000,-0.010411066003143787,0.15717105567455292,0.9848295769533316,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u011,stable_or_near_floor,240,-0.014349115081131458,0.14134334027767181,0.9863360815568871,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u011,unstable,760,-0.009167473763227463,0.1618480384349823,0.9844153551187146,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u012,overall,1000,-0.0033835736103355885,0.0882263109087944,0.8567524955470901,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u012,stable_or_near_floor,240,-0.00790347158908844,0.12804898619651794,0.8423475149065114,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u012,unstable,760,-0.0019562372472137213,0.07116244733333588,0.8688716538941211,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u013,overall,1000,-0.00493810698390007,0.12670788168907166,0.954968588085397,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u013,stable_or_near_floor,240,-0.006744082551449537,0.08951609581708908,0.9312080875196754,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u013,unstable,760,-0.004367799032479525,0.1363612413406372,0.9573381016728978,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u014,overall,1000,0.0012485405895859003,0.07636518031358719,0.9925019640233066,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u014,stable_or_near_floor,240,0.0018119481392204762,0.05996197834610939,0.9966727315686625,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u014,unstable,760,0.0010706228204071522,0.08085671812295914,0.9903690088748693,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u015,overall,1000,-0.005313289817422628,0.3247722089290619,0.9930869175466486,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u015,stable_or_near_floor,240,-0.04379026219248772,0.28926292061805725,0.9952014041596314,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u015,unstable,760,0.006837333086878061,0.335205078125,0.9922127541623312,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u016,overall,1000,-0.006525843869894743,0.11136732995510101,0.9509746080982775,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u016,stable_or_near_floor,240,-0.0008319179178215563,0.06832205504179001,0.9623139749719112,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
