member_id,stratum,n,original_mean,invariant_mean,signed_delta_mean,signed_delta_min,signed_delta_max,delta_rms,delta_mean_absolute,estimand,delta_sign
2864601_0.437,overall,1000,0.4685852096602321,0.4736220313608646,0.005036821700632572,-0.5740465521812439,0.7226194143295288,0.09772831874377905,0.05852675748616457,"native max(log Q, -2)",invariant_tilde_f minus original_f
2864601_0.437,stable_or_near_floor,240,-1.9043995127392312,-1.9062970103385548,-0.0018974975993235907,-0.28057122230529785,0.4491617679595947,0.06161231258061177,0.023328248287240665,"native max(log Q, -2)",invariant_tilde_f minus original_f
2864601_0.437,unstable,760,1.217948806207431,1.225175412950155,0.007226606742723992,-0.5740465521812439,0.7226194143295288,0.10662135283895155,0.06964207618056159,"native max(log Q, -2)",invariant_tilde_f minus original_f
2864601_0.371,overall,1000,0.4582296220958233,0.4603992482423782,0.002169626146554947,-0.5670337677001953,0.7880962491035461,0.10555112051158426,0.058695967882871625,"native max(log Q, -2)",invariant_tilde_f minus original_f
2864601_0.371,stable_or_near_floor,240,-1.9067173139502605,-1.9083289481699466,-0.0016116342196861903,-0.5244405269622803,0.3046910762786865,0.07048756148236605,0.025104381516575812,"native max(log Q, -2)",invariant_tilde_f minus original_f
2864601_0.371,unstable,760,1.2050549703209024,1.2084186786883755,0.0033637083674732007,-0.5670337677001953,0.7880962491035461,0.11441268748399426,0.06930383726170189,"native max(log Q, -2)",invariant_tilde_f minus original_f
