member_id,concept_set,regime,held_out_r2,increment_r2_over_previous,increment_ci95_lower,increment_ci95_upper,bootstrap_selection_stability,gain_over_paper_baseline,completeness_relative_to_full_bottleneck,rows,outer_split_unit,inner_split_unit,bootstrap_unit,decoder,estimand,canonical_function,validity_tag,gain_over_paper_baseline_ci95_lower,gain_over_paper_baseline_ci95_upper,gain_over_paper_baseline_selection_stability,mse,bias_decoder_minus_member,residual_std
2864601_0.371,paper_baseline,stable_or_near_floor,-11.413836134507852,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8482460313387884,0.49414896408723785,0.7772147918241766
2864601_0.371,paper_baseline,unstable,0.7570040672627993,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.7384188251563388,-0.16041867916888328,0.844206534285331
2864601_0.371,paper_geometry,all,0.8110686025979342,-0.002297950573502683,-0.007277612857354462,0.0026287456918573223,0.19,-0.002297950573502683,0.8110686025979342,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,-0.007089570966407097,0.002504780675795381,0.19,0.7741937834237168,-0.004394694202609138,0.8798718486726248
2864601_0.371,paper_geometry,stable_or_near_floor,-11.30241124834182,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8406322916004346,0.491961100502046,0.773696689403057
2864601_0.371,paper_geometry,unstable,0.7521355925541169,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.7532132018942269,-0.16113862937250026,0.8527881003028707
2864601_0.371,spatial_geometry,all,0.8354705143259503,0.02440191172801609,0.014297798715119908,0.03558868294643854,1.0,0.022103961154513407,0.8354705143259503,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.010609514283426014,0.031819874500044906,1.0,0.6742008303028516,-0.004087553943163117,0.8210871587143557
2864601_0.371,spatial_geometry,stable_or_near_floor,-10.01538908393177,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.7526891746318488,0.4013927522690048,0.7691378504909
2864601_0.371,spatial_geometry,unstable,0.7862930800786645,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.6494150373568525,-0.13213396643121614,0.7949563838802773
2864601_0.371,all_candidates,all,0.9086978622606711,0.07322734793472074,0.057632902568226535,0.08642725004137476,1.0,0.09533130908923415,0.9086978622606711,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.07964588236336399,0.11173514910785391,1.0,0.3741334072740601,0.004295785583929678,0.6116493713724204
2864601_0.371,all_candidates,stable_or_near_floor,-4.629897255684442,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.3846947834847339,0.07677576700931675,0.6154675174896439
