member_id,row_id,equilibrium_file,stable_or_near_floor,concept_set,target_native_prediction,decoder_prediction,signed_residual
2864601_0.437,3643,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000917.h5,False,paper_baseline,1.512614369392395,-0.06014115329068226,1.5727555226830772
2864601_0.437,3737,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000940.h5,False,paper_baseline,-0.9546345472335815,0.3014283319820133,-1.2560628792155948
2864601_0.437,4387,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001104.h5,False,paper_baseline,-1.3053513765335083,-0.5272047620851924,-0.7781466144483159
2864601_0.437,4415,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001111.h5,False,paper_baseline,0.014093093574047089,-0.789383944174175,0.8034770377482221
2864601_0.437,4589,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001155.h5,False,paper_baseline,1.8754591941833496,0.4264211330575474,1.4490380611258022
2864601_0.437,4798,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001207.h5,False,paper_baseline,-0.463312029838562,0.33930610351888196,-0.802618133357444
2864601_0.437,5052,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001272.h5,False,paper_baseline,0.9294445514678955,0.38072525888180786,0.5487192925860876
2864601_0.437,5181,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001304.h5,False,paper_baseline,0.9884217977523804,0.3069507371631517,0.6814710605892287
2864601_0.437,5384,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001355.h5,True,paper_baseline,-0.8721709251403809,-0.6118994971813078,-0.2602714279590731
2864601_0.437,5817,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001464.h5,False,paper_baseline,0.7579208016395569,-0.22606705385607884,0.9839878554956357
2864601_0.437,6232,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001568.h5,False,paper_baseline,1.7260442972183228,1.0111550744534,0.7148892227649228
2864601_0.437,6627,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001667.h5,False,paper_baseline,3.2562429904937744,1.892604246185305,1.3636387443084694
2864601_0.437,6645,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001672.h5,False,paper_baseline,-0.10704762488603592,-0.03932291921476666,-0.06772470567126926
2864601_0.437,6724,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001691.h5,False,paper_baseline,-0.9737539291381836,-0.7808717023743028,-0.19288222676388078
2864601_0.437,6727,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001692.h5,False,paper_baseline,-0.8696424961090088,0.17567692079158415,-1.0453194169005928
2864601_0.437,7271,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001828.h5,False,paper_baseline,0.19794130325317383,-1.1216037562532657,1.3195450595064395
2864601_0.437,7442,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001871.h5,True,paper_baseline,-1.9557722806930542,-1.6192096596632877,-0.33656262102976653
2864601_0.437,7467,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001878.h5,False,paper_baseline,1.024532675743103,0.47179597093227615,0.5527367048108269
2864601_0.437,7764,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001952.h5,True,paper_baseline,-1.9776848554611206,-1.000226353905118,-0.9774585015560027
2864601_0.437,7895,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001985.h5,False,paper_baseline,3.6399178504943848,3.48870515952194,0.15121269097244472
2864601_0.437,7975,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002005.h5,False,paper_baseline,0.2718425989151001,0.1571834839125062,0.1146591150025939
2864601_0.437,8018,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002016.h5,False,paper_baseline,0.4258536100387573,0.892127423492418,-0.4662738134536607
2864601_0.437,8376,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002106.h5,False,paper_baseline,6.656787872314453,5.80765449606037,0.8491333762540831
2864601_0.437,8384,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002108.h5,False,paper_baseline,3.2027814388275146,2.143806716917709,1.0589747219098058
2864601_0.437,8619,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002167.h5,True,paper_baseline,-2.0240566730499268,-1.676313730499544,-0.34774294255038285
2864601_0.437,9514,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002392.h5,False,paper_baseline,-0.7256652116775513,-0.31481645654787144,-0.41084875512967983
2864601_0.437,9583,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002409.h5,True,paper_baseline,-1.998489499092102,-1.2258333686168488,-0.7726561304752533
2864601_0.437,9909,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002492.h5,False,paper_baseline,2.74123215675354,1.7526188939070404,0.9886132628464996
2864601_0.437,10041,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002525.h5,False,paper_baseline,-0.7536147236824036,-0.35016713465981525,-0.4034475890225883
2864601_0.437,10068,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002532.h5,True,paper_baseline,-2.0007874965667725,-3.1906920354325137,1.1899045388657412
2864601_0.437,10580,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002661.h5,False,paper_baseline,1.3684580326080322,0.5516123674459816,0.8168456651620506
2864601_0.437,10738,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002701.h5,False,paper_baseline,1.1390962600708008,-0.2529647472412167,1.3920610073120174
2864601_0.437,10769,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002709.h5,True,paper_baseline,-2.0067763328552246,-0.850229002943986,-1.1565473299112385
2864601_0.437,10974,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002761.h5,False,paper_baseline,1.8525364398956299,0.6692987108338209,1.183237729061809
2864601_0.437,11016,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002771.h5,False,paper_baseline,0.03757622092962265,0.8264082687773043,-0.7888320478476817
2864601_0.437,11036,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002776.h5,False,paper_baseline,3.1770060062408447,2.2929431615345903,0.8840628447062544
2864601_0.437,11091,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002790.h5,False,paper_baseline,2.3357903957366943,0.7684404368799114,1.567349958856783
2864601_0.437,11221,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002823.h5,False,paper_baseline,0.35933053493499756,0.5959962374421977,-0.2366657025072001
2864601_0.437,11239,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002827.h5,True,paper_baseline,-1.637719750404358,-0.5773834098751255,-1.0603363405292323
2864601_0.437,11257,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002832.h5,True,paper_baseline,-2.060142993927002,-0.5780541710078471,-1.482088822919155
2864601_0.437,11465,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002884.h5,True,paper_baseline,-2.029864549636841,-1.0564894410272492,-0.9733751086095916
2864601_0.437,11517,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002897.h5,False,paper_baseline,2.492433547973633,1.7328935292275467,0.7595400187460861
2864601_0.437,11564,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002908.h5,True,paper_baseline,-1.8429275751113892,-0.9616179611863518,-0.8813096139250374
2864601_0.437,11632,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002926.h5,False,paper_baseline,2.6147959232330322,1.3728459316733193,1.241949991559713
2864601_0.437,11706,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002944.h5,False,paper_baseline,-0.19489699602127075,-0.2512244858892937,0.05632748986802294
2864601_0.437,11871,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002986.h5,True,paper_baseline,-1.7407280206680298,-1.078133854125419,-0.6625941665426107
2864601_0.437,12108,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_003045.h5,False,paper_baseline,-0.8912239074707031,-0.8828638874168273,-0.008360020053875816
2864601_0.437,12569,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_003161.h5,False,paper_baseline,5.03162956237793,5.132101709083681,-0.10047214670575144
2864601_0.437,12790,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000016.h5,False,paper_baseline,-1.3074229955673218,0.03017469590768168,-1.3375976914750034
2864601_0.437,12907,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000045.h5,False,paper_baseline,3.2066192626953125,2.891235121417767,0.31538414127754555
2864601_0.437,13121,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000099.h5,True,paper_baseline,-2.009430408477783,-2.3982956796723016,0.3888652711945184
2864601_0.437,13144,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000105.h5,False,paper_baseline,0.4102588891983032,-0.45175754046286,0.8620164296611632
2864601_0.437,13384,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000165.h5,True,paper_baseline,-2.0028061866760254,-1.0408437430250115,-0.9619624436510139
