member_id,target,decoder,label_permuted,stratum,r2,fold_group,folds
2864601_0.437,aspect,linear,False,overall,0.20608227537677093,equilibrium_files,5
2864601_0.437,aspect,linear,False,stable_or_near_floor,0.19374833756516596,equilibrium_files,5
2864601_0.437,aspect,linear,False,unstable,0.20596847857893663,equilibrium_files,5
2864601_0.437,aspect,linear,True,overall,0.035457386878783415,equilibrium_files,5
2864601_0.437,aspect,linear,True,stable_or_near_floor,0.008421409827026216,equilibrium_files,5
2864601_0.437,aspect,linear,True,unstable,0.038899203921841985,equilibrium_files,5
2864601_0.437,aspect,nonlinear,False,overall,0.2845649327070344,equilibrium_files,5
2864601_0.437,aspect,nonlinear,False,stable_or_near_floor,0.2870991356889293,equilibrium_files,5
2864601_0.437,aspect,nonlinear,False,unstable,0.2804077223656354,equilibrium_files,5
2864601_0.437,aspect,nonlinear,True,overall,-0.018177148183891267,equilibrium_files,5
2864601_0.437,aspect,nonlinear,True,stable_or_near_floor,-0.026219766063476202,equilibrium_files,5
2864601_0.437,aspect,nonlinear,True,unstable,-0.020632896805294676,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,linear,False,overall,0.7951668014998519,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,linear,False,stable_or_near_floor,0.815808972659509,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,linear,False,unstable,0.7855286367464687,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,linear,True,overall,0.10668227760827143,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,linear,True,stable_or_near_floor,0.05952082294357375,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,linear,True,unstable,0.1070518063314222,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,nonlinear,False,overall,0.8164299749775742,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,nonlinear,False,stable_or_near_floor,0.8316743145760173,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,nonlinear,False,unstable,0.8087984321410938,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,nonlinear,True,overall,0.06745282982406442,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,nonlinear,True,stable_or_near_floor,0.0395017958767897,equilibrium_files,5
2864601_0.371,log_FSA_grad_x,nonlinear,True,unstable,0.061260594319545225,equilibrium_files,5
2864601_0.371,log_f_Q,linear,False,overall,0.8623280761653885,equilibrium_files,5
2864601_0.371,log_f_Q,linear,False,stable_or_near_floor,0.8872615284525429,equilibrium_files,5
2864601_0.371,log_f_Q,linear,False,unstable,0.8464628265307019,equilibrium_files,5
2864601_0.371,log_f_Q,linear,True,overall,-0.06241226400109001,equilibrium_files,5
2864601_0.371,log_f_Q,linear,True,stable_or_near_floor,-0.16543545604123722,equilibrium_files,5
2864601_0.371,log_f_Q,linear,True,unstable,-0.06734166981254108,equilibrium_files,5
2864601_0.371,log_f_Q,nonlinear,False,overall,0.8644643740237403,equilibrium_files,5
2864601_0.371,log_f_Q,nonlinear,False,stable_or_near_floor,0.883421490823437,equilibrium_files,5
2864601_0.371,log_f_Q,nonlinear,False,unstable,0.8510683855376895,equilibrium_files,5
2864601_0.371,log_f_Q,nonlinear,True,overall,-0.11235753773123514,equilibrium_files,5
2864601_0.371,log_f_Q,nonlinear,True,stable_or_near_floor,-0.20357619535044247,equilibrium_files,5
2864601_0.371,log_f_Q,nonlinear,True,unstable,-0.12413996891825874,equilibrium_files,5
2864601_0.371,f_stab,linear,False,overall,0.7686576611865142,equilibrium_files,5
2864601_0.371,f_stab,linear,False,stable_or_near_floor,0.837783102436991,equilibrium_files,5
2864601_0.371,f_stab,linear,False,unstable,0.7402877660809523,equilibrium_files,5
2864601_0.371,f_stab,linear,True,overall,-0.11860572118813106,equilibrium_files,5
2864601_0.371,f_stab,linear,True,stable_or_near_floor,-0.2251939071507647,equilibrium_files,5
2864601_0.371,f_stab,linear,True,unstable,-0.11988652422114798,equilibrium_files,5
2864601_0.371,f_stab,nonlinear,False,overall,0.7662497090686781,equilibrium_files,5
2864601_0.371,f_stab,nonlinear,False,stable_or_near_floor,0.8381185278968437,equilibrium_files,5
2864601_0.371,f_stab,nonlinear,False,unstable,0.7369606163070794,equilibrium_files,5
2864601_0.371,f_stab,nonlinear,True,overall,-0.17279677336920218,equilibrium_files,5
2864601_0.371,f_stab,nonlinear,True,stable_or_near_floor,-0.31467320273680643,equilibrium_files,5
2864601_0.371,f_stab,nonlinear,True,unstable,-0.16485304268198409,equilibrium_files,5
2864601_0.371,shat,linear,False,overall,0.28846954893391463,equilibrium_files,5
2864601_0.371,shat,linear,False,stable_or_near_floor,0.17486235014517482,equilibrium_files,5
2864601_0.371,shat,linear,False,unstable,0.31700764946465254,equilibrium_files,5
2864601_0.371,shat,linear,True,overall,0.06794727338256024,equilibrium_files,5
2864601_0.371,shat,linear,True,stable_or_near_floor,0.07800211208253893,equilibrium_files,5
2864601_0.371,shat,linear,True,unstable,0.0625032085401016,equilibrium_files,5
2864601_0.371,shat,nonlinear,False,overall,0.29665834258336854,equilibrium_files,5
2864601_0.371,shat,nonlinear,False,stable_or_near_floor,0.20883618101076817,equilibrium_files,5
2864601_0.371,shat,nonlinear,False,unstable,0.31826962381131296,equilibrium_files,5
2864601_0.371,shat,nonlinear,True,overall,0.03508921704623347,equilibrium_files,5
2864601_0.371,shat,nonlinear,True,stable_or_near_floor,0.033976135853604594,equilibrium_files,5
2864601_0.371,shat,nonlinear,True,unstable,0.03255930393647499,equilibrium_files,5
2864601_0.371,nfp,linear,False,overall,0.4235924271124121,equilibrium_files,5
2864601_0.371,nfp,linear,False,stable_or_near_floor,0.3865645730419459,equilibrium_files,5
2864601_0.371,nfp,linear,False,unstable,0.43467368150133967,equilibrium_files,5
2864601_0.371,nfp,linear,True,overall,-0.013752135304703206,equilibrium_files,5
2864601_0.371,nfp,linear,True,stable_or_near_floor,-0.017058488523189475,equilibrium_files,5
2864601_0.371,nfp,linear,True,unstable,-0.012822365873071284,equilibrium_files,5
2864601_0.371,nfp,nonlinear,False,overall,0.4457531365461097,equilibrium_files,5
2864601_0.371,nfp,nonlinear,False,stable_or_near_floor,0.41562407054351713,equilibrium_files,5
2864601_0.371,nfp,nonlinear,False,unstable,0.4547645147096171,equilibrium_files,5
2864601_0.371,nfp,nonlinear,True,overall,-0.06408359042692013,equilibrium_files,5
2864601_0.371,nfp,nonlinear,True,stable_or_near_floor,-0.07929299531842315,equilibrium_files,5
2864601_0.371,nfp,nonlinear,True,unstable,-0.05958324236515722,equilibrium_files,5
2864601_0.371,aspect,linear,False,overall,0.25635282358737466,equilibrium_files,5
2864601_0.371,aspect,linear,False,stable_or_near_floor,0.2527893976781015,equilibrium_files,5
2864601_0.371,aspect,linear,False,unstable,0.2538727862377612,equilibrium_files,5
2864601_0.371,aspect,linear,True,overall,-0.05704554536497097,equilibrium_files,5
2864601_0.371,aspect,linear,True,stable_or_near_floor,-0.08698660430840666,equilibrium_files,5
2864601_0.371,aspect,linear,True,unstable,-0.053180889535758835,equilibrium_files,5
2864601_0.371,aspect,nonlinear,False,overall,0.24691709225658287,equilibrium_files,5
2864601_0.371,aspect,nonlinear,False,stable_or_near_floor,0.3191332746591614,equilibrium_files,5
2864601_0.371,aspect,nonlinear,False,unstable,0.2218803463098995,equilibrium_files,5
2864601_0.371,aspect,nonlinear,True,overall,-0.09519259646423994,equilibrium_files,5
