member_id,feature_id,feature_kind,stratum,method,permutations,mean_signed,mean_absolute,rms,variance_contribution,variance_share,mean_sampling_se,maximum_sampling_se
2864601_0.437,2864601_0.437:u000,bottleneck_unit,overall,exact_enumeration,,-0.03161892392084701,0.09242625590093667,0.13178161537872565,0.0258879507159408,0.0062766870011352,0.0,0.0
2864601_0.437,2864601_0.437:u001,bottleneck_unit,overall,exact_enumeration,,-0.0063559083473446664,0.4183336394447324,0.5832459675538877,0.43442817695988944,0.10532968488587091,0.0,0.0
2864601_0.437,2864601_0.437:u002,bottleneck_unit,overall,exact_enumeration,,-0.0008631513708301099,0.03823037576804427,0.06259426156595595,-0.005949441133371512,-0.0014424772449391989,0.0,0.0
2864601_0.437,2864601_0.437:u003,bottleneck_unit,overall,exact_enumeration,,-0.011819207170163281,0.1588110346283065,0.2917393401052204,0.12393057298980927,0.03004770153743334,0.0,0.0
2864601_0.437,2864601_0.437:u004,bottleneck_unit,overall,exact_enumeration,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864601_0.437,2864601_0.437:u005,bottleneck_unit,overall,exact_enumeration,,0.003269482305957354,0.06225084297555441,0.0922531754836083,0.032216377840071544,0.007811051644498178,0.0,0.0
2864601_0.437,2864601_0.437:u006,bottleneck_unit,overall,exact_enumeration,,0.003041285487503046,0.08764937953968183,0.12639467051673964,0.04768814455534768,0.011562273133288038,0.0,0.0
2864601_0.437,2864601_0.437:u007,bottleneck_unit,overall,exact_enumeration,,-0.014195987548475387,0.06931178158070543,0.11067800172261281,0.009159899753037744,0.0022208719547735798,0.0,0.0
2864601_0.437,2864601_0.437:u008,bottleneck_unit,overall,exact_enumeration,,0.004175568943785038,0.17009012714697747,0.2139561414169985,0.09882826250694558,0.023961497664631955,0.0,0.0
2864601_0.437,2864601_0.437:u009,bottleneck_unit,overall,exact_enumeration,,-0.007895907317753881,0.045418803659267724,0.1690926879458159,0.03192065115337849,0.007739350957540671,0.0,0.0
2864601_0.437,a_over_LT,scalar_drive,overall,exact_enumeration,,-0.8197235478262883,1.9334821332718712,2.2926341586417527,2.6863122494642298,0.6513123175416102,0.0,0.0
2864601_0.437,a_over_Ln,scalar_drive,overall,exact_enumeration,,-0.3536853045471653,0.875308550938993,1.3672650755505862,0.6400382286741624,0.15518105987721167,0.0,0.0
2864601_0.437,2864601_0.437:u000,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.052433914745294415,0.09543210019061614,0.12646725435323097,0.0005892475421275848,0.007603723466081256,0.0,0.0
2864601_0.437,2864601_0.437:u001,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.13754955299309585,0.2664859543522046,0.3447536566456959,-0.006228736848330579,-0.08037639387801031,0.0,0.0
2864601_0.437,2864601_0.437:u002,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.008882644174781263,0.02447626037710696,0.03726074453537299,0.0016760635849122267,0.02162813266089441,0.0,0.0
2864601_0.437,2864601_0.437:u003,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.11722015364648541,0.2052462439853116,0.40614962429875207,0.002311239322656734,0.029824519267336376,0.0,0.0
2864601_0.437,2864601_0.437:u004,bottleneck_unit,stable_or_near_floor,exact_enumeration,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864601_0.437,2864601_0.437:u005,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.008454120537074535,0.03621091868571966,0.050134545626943215,-0.0005024339722776675,-0.006483470378798674,0.0,0.0
2864601_0.437,2864601_0.437:u006,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.035903940397353534,0.07887132215546444,0.12483596692636997,0.004123166482579788,0.05320585237394743,0.0,0.0
2864601_0.437,2864601_0.437:u007,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.023824724761774028,0.04818330482703459,0.08461143985200285,-0.004594125649296895,-0.05928316795273277,0.0,0.0
2864601_0.437,2864601_0.437:u008,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.04603248414059635,0.1361606986009671,0.1761998088964003,-0.0015097482894168663,-0.01948197943204905,0.0,0.0
2864601_0.437,2864601_0.437:u009,bottleneck_unit,stable_or_near_floor,exact_enumeration,,-0.03338060068199411,0.057548606510196505,0.2213049376093546,-0.010195089517531614,-0.13155870132839564,0.0,0.0
2864601_0.437,a_over_LT,scalar_drive,stable_or_near_floor,exact_enumeration,,-2.2077643066023787,2.405229600938037,2.7681232664967594,0.038933661329665165,0.5024048012214468,0.0,0.0
2864601_0.437,a_over_Ln,scalar_drive,stable_or_near_floor,exact_enumeration,,-0.9441442507794515,1.1222535625109837,1.8146750307675894,0.052891364818090786,0.6825167405336461,0.0,0.0
2864601_0.437,2864601_0.437:u000,bottleneck_unit,unstable,exact_enumeration,,-0.025045768923653094,0.0914770419147221,0.13341586255681312,0.01329336126837719,0.004359934761053445,0.0,0.0
2864601_0.437,2864601_0.437:u001,bottleneck_unit,unstable,exact_enumeration,,0.03507366364605045,0.4662855400002675,0.6403644506748233,0.44384742964072443,0.1455723498388797,0.0,0.0
2864601_0.437,2864601_0.437:u002,bottleneck_unit,unstable,exact_enumeration,,0.001669320040943938,0.04257378062834026,0.06867959975387648,-0.016287859643672277,-0.005342065412194692,0.0,0.0
2864601_0.437,2864601_0.437:u003,bottleneck_unit,unstable,exact_enumeration,,0.02146530224341213,0.14414728430504176,0.24473949202942852,0.05810715500707885,0.01905788911221031,0.0,0.0
2864601_0.437,2864601_0.437:u004,bottleneck_unit,unstable,exact_enumeration,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864601_0.437,2864601_0.437:u005,bottleneck_unit,unstable,exact_enumeration,,0.006971672677441108,0.07047397696181801,0.10200241836114407,0.03095532714779964,0.010152677276027188,0.0,0.0
