member_id,unit_id,stratum,shapley_mean_absolute,shapley_rank,mean_ablation_rms,ablation_rank,member_spearman,encoded_column,used_column
2864601_0.371,2864601_0.371:u017,overall,0.4628562823567772,1.0,0.6365244671852992,1.0,0.8892190304373201,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.371,2864601_0.371:u018,overall,0.012307873335201292,11.0,0.05134478746302731,14.0,0.8892190304373201,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.371,2864601_0.371:u019,overall,0.1407468033817131,3.0,0.16310346032362213,5.0,0.8892190304373201,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.371,2864601_0.371:u020,overall,0.021510740135796368,10.0,0.11900625449192404,6.0,0.8892190304373201,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.371,2864601_0.371:u021,overall,0.010809966596774757,13.0,0.039064764776326796,17.0,0.8892190304373201,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.371,2864601_0.371:u022,overall,4.656612873077393e-13,22.0,0.0,22.0,0.8892190304373201,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u000,overall,0.0107919968937058,29.0,0.05260563466454099,27.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u001,overall,0.008618135343858739,30.0,0.05573743731236859,25.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u002,overall,0.02686393179159495,15.0,0.09294829518365366,13.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u003,overall,0.04110443176442641,9.0,0.19642047627455447,5.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u004,overall,0.028658560150826816,13.0,0.06929289187352712,23.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u005,overall,0.057869743665854914,7.0,0.17810996182698566,6.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u006,overall,0.029983185900287937,12.0,0.139626530522704,7.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u007,overall,0.07644204675062792,5.0,0.11703145451220529,8.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u008,overall,0.021234098980727138,21.0,0.07996715268192708,18.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u009,overall,0.026276275477954185,17.0,0.0805961852696079,17.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u010,overall,0.03722863640019204,10.0,0.11207104988429367,10.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u011,overall,0.022616905636677984,20.0,0.07491130880337908,20.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u012,overall,0.012533024213975296,28.0,0.03730607121434635,30.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u013,overall,0.013490213417157065,27.0,0.04913490413588381,28.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u014,overall,0.2094241090870928,1.0,0.324004580198701,1.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u015,overall,0.022979164984892123,19.0,0.08247721174123956,15.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u016,overall,0.060460902183433064,6.0,0.09821610309735138,11.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u017,overall,0.11649425522971432,4.0,0.21624536164199507,4.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u018,overall,0.01978507018482196,22.0,0.08198904805350433,16.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u019,overall,0.026251538088312373,18.0,0.07011623070745297,22.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u020,overall,3.4866388887166976e-11,31.0,0.0,31.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
