member_id,target,stratum,encoded_linear_grouped_cv_r2,encoded_nonlinear_grouped_cv_r2,label_permutation_linear_r2,label_permutation_nonlinear_r2,used_direction_removal_mean_signed_delta,used_direction_removal_rms_delta,random_direction_control_median_rms,random_direction_control_q90_rms,direction_intervention_validity
2864601_0.437,log_FSA_grad_x,overall,0.7319296058206433,0.799368927646395,-0.05014036316437642,-0.07500728586987337,-0.011452969782054425,0.56926218587995,0.24224820905377398,0.4201407048404267,deliberately_off_manifold_diagnostic
2864601_0.437,log_FSA_grad_x,stable_or_near_floor,0.7731007082404048,0.8065126333368723,-0.05639706701221203,-0.060396991409157774,0.026348296056191125,0.2175874855913884,0.15910882986257083,0.32919947673224237,deliberately_off_manifold_diagnostic
2864601_0.437,log_FSA_grad_x,unstable,0.7149402997727168,0.793969898597966,-0.0649084664754509,-0.09662076300190736,-0.023390211625710915,0.6414383517781109,0.2627831699226213,0.4352817473926679,deliberately_off_manifold_diagnostic
2864601_0.437,log_f_Q,overall,0.8563508358191579,0.8754248686049886,0.02056869050289989,-0.00025601964855614945,-0.02473770694434643,0.8350566170050705,0.24224820905377398,0.4201407048404267,deliberately_off_manifold_diagnostic
2864601_0.437,log_f_Q,stable_or_near_floor,0.876957555789095,0.8844238159929564,-0.0934151915168584,-0.13206696162538112,0.08777376164992651,0.44484486020513675,0.15910882986257083,0.32919947673224237,deliberately_off_manifold_diagnostic
2864601_0.437,log_f_Q,unstable,0.8419481848442305,0.8664631033853555,0.023584092325177997,0.008949911431460178,-0.06026764439516946,0.924681087049483,0.2627831699226213,0.4352817473926679,deliberately_off_manifold_diagnostic
2864601_0.437,f_stab,overall,0.7240393112904239,0.7847975343101914,-0.026386017543218232,-0.07813344486734652,-0.04044713482260704,0.4284942855823193,0.24224820905377398,0.4201407048404267,deliberately_off_manifold_diagnostic
2864601_0.437,f_stab,stable_or_near_floor,0.7669574935217447,0.8227445685445426,-0.11375443486640968,-0.14242587531259532,-0.0008653223514556885,0.15727043084882808,0.15910882986257083,0.32919947673224237,deliberately_off_manifold_diagnostic
2864601_0.437,f_stab,unstable,0.702386681397787,0.7665316713805528,-0.03077727349463988,-0.09121769417507442,-0.05294665455033905,0.4835058312880436,0.2627831699226213,0.4352817473926679,deliberately_off_manifold_diagnostic
2864601_0.437,shat,overall,0.27575450778855504,0.35917647240971584,0.02456158877651271,-0.010825169500093379,-0.00045999789237976076,0.09148756997879476,0.24224820905377398,0.4201407048404267,deliberately_off_manifold_diagnostic
2864601_0.437,shat,stable_or_near_floor,0.1875784763264431,0.2951299539121346,-0.0043657256988829385,-0.07608999009189787,-0.007492444664239884,0.08975204958030769,0.15910882986257083,0.32919947673224237,deliberately_off_manifold_diagnostic
2864601_0.437,shat,unstable,0.29739987284191793,0.3745619451439688,0.029498642969741917,0.0038035498286249636,0.0017607747724181727,0.09202882960544874,0.2627831699226213,0.4352817473926679,deliberately_off_manifold_diagnostic
2864601_0.437,nfp,overall,0.3947000200036622,0.5004633787521671,-0.008985596254842632,-0.07798332003284014,-0.008393795505166054,0.09300780865480027,0.24224820905377398,0.4201407048404267,deliberately_off_manifold_diagnostic
2864601_0.437,nfp,stable_or_near_floor,0.37550881341407105,0.476435384432664,-0.01600965545231947,-0.12036609683685406,-0.009519937230894964,0.06241741609806063,0.15910882986257083,0.32919947673224237,deliberately_off_manifold_diagnostic
2864601_0.437,nfp,unstable,0.40042431153337565,0.5076464022856051,-0.0069393489010090015,-0.06532546157361563,-0.008038171802304293,0.10075653531763111,0.2627831699226213,0.4352817473926679,deliberately_off_manifold_diagnostic
2864601_0.437,aspect,overall,0.20608227537677093,0.2845649327070344,0.035457386878783415,-0.018177148183891267,-0.0024465423598885538,0.17861082830710817,0.24224820905377398,0.4201407048404267,deliberately_off_manifold_diagnostic
2864601_0.437,aspect,stable_or_near_floor,0.19374833756516596,0.2870991356889293,0.008421409827026216,-0.026219766063476202,0.0045788818349440895,0.08407224661101476,0.15910882986257083,0.32919947673224237,deliberately_off_manifold_diagnostic
2864601_0.437,aspect,unstable,0.20596847857893663,0.2804077223656354,0.038899203921841985,-0.020632896805294676,-0.004665097368783073,0.1993590840949596,0.2627831699226213,0.4352817473926679,deliberately_off_manifold_diagnostic
2864601_0.371,log_FSA_grad_x,overall,0.7951668014998519,0.8164299749775742,0.10668227760827143,0.06745282982406442,-0.028617203623056413,0.6311967705138172,0.17391009331535043,0.2445655279296986,deliberately_off_manifold_diagnostic
2864601_0.371,log_FSA_grad_x,stable_or_near_floor,0.815808972659509,0.8316743145760173,0.05952082294357375,0.0395017958767897,0.04907093917330106,0.24251910010332364,0.08296760609538908,0.17091877278099404,deliberately_off_manifold_diagnostic
2864601_0.371,log_FSA_grad_x,unstable,0.7855286367464687,0.8087984321410938,0.1070518063314222,0.061260594319545225,-0.05315030134822193,0.7110903782289951,0.1927836794920791,0.2720348881358783,deliberately_off_manifold_diagnostic
2864601_0.371,log_f_Q,overall,0.8623280761653885,0.8644643740237403,-0.06241226400109001,-0.11235753773123514,-0.04894145157933235,0.9579021923193269,0.17391009331535043,0.2445655279296986,deliberately_off_manifold_diagnostic
2864601_0.371,log_f_Q,stable_or_near_floor,0.8872615284525429,0.883421490823437,-0.16543545604123722,-0.20357619535044247,0.15911143844326336,0.564728922297834,0.08296760609538908,0.17091877278099404,deliberately_off_manifold_diagnostic
2864601_0.371,log_f_Q,unstable,0.8464628265307019,0.8510683855376895,-0.06734166981254108,-0.12413996891825874,-0.11464236421804679,1.0519631451713276,0.1927836794920791,0.2720348881358783,deliberately_off_manifold_diagnostic
2864601_0.371,f_stab,overall,0.7686576611865142,0.7662497090686781,-0.11860572118813106,-0.17279677336920218,-0.02053421413898468,0.507360125485896,0.17391009331535043,0.2445655279296986,deliberately_off_manifold_diagnostic
2864601_0.371,f_stab,stable_or_near_floor,0.837783102436991,0.8381185278968437,-0.2251939071507647,-0.31467320273680643,0.04211451411247254,0.20600320177704265,0.08296760609538908,0.17091877278099404,deliberately_off_manifold_diagnostic
2864601_0.371,f_stab,unstable,0.7402877660809523,0.7369606163070794,-0.11988652422114798,-0.16485304268198409,-0.04031802306049748,0.5703523153313244,0.1927836794920791,0.2720348881358783,deliberately_off_manifold_diagnostic
2864601_0.371,shat,overall,0.28846954893391463,0.29665834258336854,0.06794727338256024,0.03508921704623347,-0.005713260680437088,0.1110144473370311,0.17391009331535043,0.2445655279296986,deliberately_off_manifold_diagnostic
2864601_0.371,shat,stable_or_near_floor,0.17486235014517482,0.20883618101076817,0.07800211208253893,0.033976135853604594,-0.004164778192838033,0.07403289902441731,0.08296760609538908,0.17091877278099404,deliberately_off_manifold_diagnostic
2864601_0.371,shat,unstable,0.31700764946465254,0.31826962381131296,0.0625032085401016,0.03255930393647499,-0.0062022551502052105,0.12035473163482056,0.1927836794920791,0.2720348881358783,deliberately_off_manifold_diagnostic
2864601_0.371,nfp,overall,0.4235924271124121,0.4457531365461097,-0.013752135304703206,-0.06408359042692013,-0.0005616597235202789,0.17175330846863973,0.17391009331535043,0.2445655279296986,deliberately_off_manifold_diagnostic
2864601_0.371,nfp,stable_or_near_floor,0.3865645730419459,0.41562407054351713,-0.017058488523189475,-0.07929299531842315,0.012458062171936036,0.10793232289516819,0.08296760609538908,0.17091877278099404,deliberately_off_manifold_diagnostic
2864601_0.371,nfp,unstable,0.43467368150133967,0.4547645147096171,-0.012822365873071284,-0.05958324236515722,-0.00467315084840122,0.18744594396852987,0.1927836794920791,0.2720348881358783,deliberately_off_manifold_diagnostic
2864601_0.371,aspect,overall,0.25635282358737466,0.24691709225658287,-0.05704554536497097,-0.09519259646423994,0.022142300993204116,0.17647236521219858,0.17391009331535043,0.2445655279296986,deliberately_off_manifold_diagnostic
2864601_0.371,aspect,stable_or_near_floor,0.2527893976781015,0.3191332746591614,-0.08698660430840666,-0.13653870511859645,0.02282434143126011,0.1674449286934824,0.08296760609538908,0.17091877278099404,deliberately_off_manifold_diagnostic
2864601_0.371,aspect,unstable,0.2538727862377612,0.2218803463098995,-0.053180889535758835,-0.08812137001048104,0.021926919802239066,0.17922869354670237,0.1927836794920791,0.2720348881358783,deliberately_off_manifold_diagnostic
2864601_0.409,log_FSA_grad_x,overall,0.9037876434549456,0.911469706953683,0.027609842051250166,-0.016382593558560865,-0.0024003342762589455,0.2315777462476608,0.11359647409954891,0.21575414906113902,deliberately_off_manifold_diagnostic
2864601_0.409,log_FSA_grad_x,stable_or_near_floor,0.9181623646603696,0.9229935172341803,0.003656259851820831,-0.062282937120155646,0.02137731413046519,0.12424217678456984,0.0789451387915999,0.18076977462022614,deliberately_off_manifold_diagnostic
2864601_0.409,log_FSA_grad_x,unstable,0.8978142799339437,0.9064997244102793,0.01954833075975493,-0.018360159652842878,-0.009909065352066567,0.2562985104763625,0.11761329472261184,0.22749766414104844,deliberately_off_manifold_diagnostic
2864601_0.409,log_f_Q,overall,0.9113768700148166,0.9175834540428063,0.012898597402327905,-0.05505777920713517,-0.01791316583752632,0.4550680296270191,0.11359647409954891,0.21575414906113902,deliberately_off_manifold_diagnostic
2864601_0.409,log_f_Q,stable_or_near_floor,0.9203711899777133,0.9294798312818855,-0.11032170865162261,-0.14151437337079287,0.05292074270546436,0.2767229561633965,0.0789451387915999,0.18076977462022614,deliberately_off_manifold_diagnostic
2864601_0.409,log_f_Q,unstable,0.9039703562331249,0.9092908842691357,0.019256175291303745,-0.06625841350620276,-0.04028176853531285,0.49829811532056867,0.11761329472261184,0.22749766414104844,deliberately_off_manifold_diagnostic
2864601_0.409,f_stab,overall,0.866982730608622,0.8770304745491333,-0.10136987176406431,-0.12520794506822952,-0.013568046629428863,0.18780294604741607,0.11359647409954891,0.21575414906113902,deliberately_off_manifold_diagnostic
2864601_0.409,f_stab,stable_or_near_floor,0.9087470182159485,0.9145006140294962,-0.24208719187670646,-0.21527428742389376,0.0040833062181870146,0.0713811059735769,0.0789451387915999,0.18076977462022614,deliberately_off_manifold_diagnostic
2864601_0.409,f_stab,unstable,0.8500483453410421,0.8617265082674828,-0.0916035652945093,-0.13178347822994452,-0.01914215805499177,0.21165725643896807,0.11761329472261184,0.22749766414104844,deliberately_off_manifold_diagnostic
2864601_0.409,shat,overall,0.4509444330376725,0.4559587082065142,-0.08094654494454745,-0.11250731158530747,-0.0009737953469157219,0.03903335208640984,0.11359647409954891,0.21575414906113902,deliberately_off_manifold_diagnostic
2864601_0.409,shat,stable_or_near_floor,0.3511894168385298,0.3890584452631425,-0.060314974509123154,-0.1211315687578236,-0.0028463715066512425,0.03537733935986509,0.0789451387915999,0.18076977462022614,deliberately_off_manifold_diagnostic
2864601_0.409,shat,unstable,0.47622493917394915,0.4723973112090821,-0.08967845169282662,-0.11344533009833158,-0.00038245550699924166,0.04011872350414751,0.11761329472261184,0.22749766414104844,deliberately_off_manifold_diagnostic
2864601_0.409,nfp,overall,0.564981716678196,0.6020211674322686,-0.026171301078709908,-0.04802901228647216,0.0011654692590236664,0.060773837039646283,0.11359647409954891,0.21575414906113902,deliberately_off_manifold_diagnostic
2864601_0.409,nfp,stable_or_near_floor,0.5015384732428791,0.5495415185380339,0.006435995639809233,-0.04112330242595896,0.0034002651770909625,0.03707269984159702,0.0789451387915999,0.18076977462022614,deliberately_off_manifold_diagnostic
2864601_0.409,nfp,unstable,0.5840025460468425,0.6177526503773844,-0.03602480486348969,-0.05016737959087969,0.0004597442322655728,0.06652667501076312,0.11761329472261184,0.22749766414104844,deliberately_off_manifold_diagnostic
2864601_0.409,aspect,overall,0.30871182538375497,0.34285026591663825,-0.15381547379941862,-0.21306976085042573,-0.0036941231340169908,0.09306841977697816,0.11359647409954891,0.21575414906113902,deliberately_off_manifold_diagnostic
2864601_0.409,aspect,stable_or_near_floor,0.2741994261983379,0.3183351278447314,-0.1758910188703986,-0.18741250327239323,0.00010972650100787481,0.06123905910823468,0.0789451387915999,0.18076977462022614,deliberately_off_manifold_diagnostic
2864601_0.409,aspect,unstable,0.3156749321964689,0.3470059382823619,-0.15274789885561213,-0.226464104564835,-0.004895338808235369,0.10105806950561287,0.11761329472261184,0.22749766414104844,deliberately_off_manifold_diagnostic
2864601_0.386,log_FSA_grad_x,overall,0.8535883449802519,0.8499074638903457,-0.052973335539122424,-0.12135874140962355,-0.007202300935983658,0.15480396040253647,0.14385969691763034,0.22907808460882212,deliberately_off_manifold_diagnostic
2864601_0.386,log_FSA_grad_x,stable_or_near_floor,0.8785880103872247,0.8814945765459661,0.00962647177901943,-0.04368654760771551,0.00037015676498413085,0.029144252646672437,0.06593658610910996,0.12308559529944196,deliberately_off_manifold_diagnostic
2864601_0.386,log_FSA_grad_x,unstable,0.8435324710311468,0.8377569028036389,-0.08906967163070889,-0.16320151028330399,-0.009593603367868223,0.17681544483827044,0.1546794633924831,0.24921454151369146,deliberately_off_manifold_diagnostic
2864601_0.386,log_f_Q,overall,0.8962452122983333,0.8959649988447614,-0.008845459012220447,-0.042016931519506695,-0.03558526320010424,0.5288876194197817,0.14385969691763034,0.22907808460882212,deliberately_off_manifold_diagnostic
2864601_0.386,log_f_Q,stable_or_near_floor,0.9013675785120958,0.899675744019837,-0.12535158151121584,-0.12361214322220149,0.04365243141849836,0.21512693054757,0.06593658610910996,0.12308559529944196,deliberately_off_manifold_diagnostic
2864601_0.386,log_f_Q,unstable,0.8897248757123024,0.8899939960829699,-0.006097815477850155,-0.05458760609205382,-0.06060769307966295,0.5945088761192624,0.1546794633924831,0.24921454151369146,deliberately_off_manifold_diagnostic
2864601_0.386,f_stab,overall,0.7571670840652193,0.7825587527382734,-0.04502948003665552,-0.12076350804863889,-0.022828007742762564,0.4558680318554895,0.14385969691763034,0.22907808460882212,deliberately_off_manifold_diagnostic
2864601_0.386,f_stab,stable_or_near_floor,0.800701611707783,0.8354789434833014,-0.13726916068345574,-0.2394662404150696,0.03348318388064702,0.17166477007835018,0.06593658610910996,0.12308559529944196,deliberately_off_manifold_diagnostic
2864601_0.386,f_stab,unstable,0.7363354874330038,0.7596087469083818,-0.04848804305848553,-0.11837558003091897,-0.04061048930804981,0.5139413647683241,0.1546794633924831,0.24921454151369146,deliberately_off_manifold_diagnostic
2864601_0.386,shat,overall,0.39413050237950054,0.4276726266243426,-0.012447138201717278,-0.060461953600239315,-0.0009573484361171722,0.07324057367352953,0.14385969691763034,0.22907808460882212,deliberately_off_manifold_diagnostic
2864601_0.386,shat,stable_or_near_floor,0.29066481097502384,0.30183741446396517,0.024859171690604365,-0.04042569903384896,-0.0019474795709053675,0.040613377307293405,0.06593658610910996,0.12308559529944196,deliberately_off_manifold_diagnostic
2864601_0.386,shat,unstable,0.42024466170319674,0.4599152809648408,-0.02547313054351452,-0.06897330310046645,-0.000644675446184058,0.08085329870003521,0.1546794633924831,0.24921454151369146,deliberately_off_manifold_diagnostic
2864601_0.386,nfp,overall,0.4834021084578901,0.4825406963414719,-0.0660683155781645,-0.11168238671774766,0.00931603293120861,0.07903262774345184,0.14385969691763034,0.22907808460882212,deliberately_off_manifold_diagnostic
2864601_0.386,nfp,stable_or_near_floor,0.44361568220186465,0.4491715057688398,-0.07028334031117134,-0.10730582392553689,0.0014576774090528488,0.03397744208097181,0.06593658610910996,0.12308559529944196,deliberately_off_manifold_diagnostic
2864601_0.386,nfp,unstable,0.49531529191408064,0.49252715333385655,-0.06486897856121687,-0.11306536796444888,0.011797618885573588,0.0886231248123735,0.1546794633924831,0.24921454151369146,deliberately_off_manifold_diagnostic
2864601_0.386,aspect,overall,0.27721140383087606,0.29293760770624144,-0.025611442129890527,-0.09739028764977875,0.003007370851933956,0.1638228547227456,0.14385969691763034,0.22907808460882212,deliberately_off_manifold_diagnostic
2864601_0.386,aspect,stable_or_near_floor,0.29598686666328866,0.31605919337880295,-0.030824766424577543,-0.0733465891496845,0.0019182668377955754,0.08351665508634908,0.06593658610910996,0.12308559529944196,deliberately_off_manifold_diagnostic
2864601_0.386,aspect,unstable,0.2681944193020095,0.28270435538040284,-0.0289430633911405,-0.10975483495578997,0.0033512984353460764,0.18196269183498956,0.1546794633924831,0.24921454151369146,deliberately_off_manifold_diagnostic
2864601_0.355,log_FSA_grad_x,overall,0.869541487985779,0.8785105649330107,-0.04858089820614042,-0.13085818054344345,-0.0033372341096401213,0.3592194764266778,0.11837421841132875,0.25004617736712326,deliberately_off_manifold_diagnostic
2864601_0.355,log_FSA_grad_x,stable_or_near_floor,0.887444217496249,0.8998877650001664,-0.045457833593749664,-0.13958178577517644,0.018364715576171874,0.14639617986874273,0.08295977564673505,0.16684061352702895,deliberately_off_manifold_diagnostic
2864601_0.355,log_FSA_grad_x,unstable,0.861932966245076,0.8699707523041555,-0.06622343467664527,-0.14614755904563625,-0.01019048137884391,0.4037570111645086,0.11885238374449457,0.27786508759412354,deliberately_off_manifold_diagnostic
2864601_0.355,log_f_Q,overall,0.8898916411574213,0.8960520676876024,-0.016762547797290805,-0.05194973135098202,-0.040939785987138745,0.6704974971770952,0.11837421841132875,0.25004617736712326,deliberately_off_manifold_diagnostic
2864601_0.355,log_f_Q,stable_or_near_floor,0.90752019826241,0.9165212161452277,-0.14095196090296613,-0.14765535125234686,0.05939564605553945,0.3155332530277846,0.08295977564673505,0.16684061352702895,deliberately_off_manifold_diagnostic
2864601_0.355,log_f_Q,unstable,0.878122717278081,0.8834195401681331,-0.011301125071953688,-0.059337476546162504,-0.07262465926377397,0.7483949471129934,0.11885238374449457,0.27786508759412354,deliberately_off_manifold_diagnostic
2864601_0.355,f_stab,overall,0.7813342465256796,0.7958542447451515,-0.07427892346983667,-0.10058954577186952,-0.005804849117994309,0.37682146566952945,0.11837421841132875,0.25004617736712326,deliberately_off_manifold_diagnostic
2864601_0.355,f_stab,stable_or_near_floor,0.8343618750193201,0.854605242775706,-0.1415899245036243,-0.18565370929326352,0.021436587472756705,0.14780099163696978,0.08295977564673505,0.16684061352702895,deliberately_off_manifold_diagnostic
2864601_0.355,f_stab,unstable,0.7583137495116193,0.7715125284699094,-0.08631499234776974,-0.10795577878261242,-0.014407408041389364,0.42418898630582347,0.11885238374449457,0.27786508759412354,deliberately_off_manifold_diagnostic
2864601_0.355,shat,overall,0.44315662043733783,0.44942784892187815,0.0048631102054096376,-0.057182341069758724,-0.0061362266391515735,0.1179148037008873,0.11837421841132875,0.25004617736712326,deliberately_off_manifold_diagnostic
2864601_0.355,shat,stable_or_near_floor,0.24685246517203685,0.21653256351378292,0.02456769185455765,0.04980774411625166,-0.00736060527463754,0.0446367477377933,0.08295977564673505,0.16684061352702895,deliberately_off_manifold_diagnostic
2864601_0.355,shat,unstable,0.49444090079811376,0.5105943412478557,-0.003367240305335306,-0.08912409305902957,-0.005749580754261268,0.13291130556717043,0.11885238374449457,0.27786508759412354,deliberately_off_manifold_diagnostic
2864601_0.355,nfp,overall,0.5186920695839852,0.5303404924840784,-0.036719208637713496,-0.09375651683841002,-0.0017113105207681655,0.08071841990701344,0.11837421841132875,0.25004617736712326,deliberately_off_manifold_diagnostic
2864601_0.355,nfp,stable_or_near_floor,0.43100891186819845,0.4972767383754685,-0.041083095793509106,-0.1309659498758442,-0.0016346935803691546,0.0538756527404937,0.08295977564673505,0.16684061352702895,deliberately_off_manifold_diagnostic
2864601_0.355,nfp,unstable,0.5449876752997773,0.5402382133522599,-0.03547335672276586,-0.08265285145040258,-0.0017355053440520638,0.08750069685672524,0.11885238374449457,0.27786508759412354,deliberately_off_manifold_diagnostic
2864601_0.355,aspect,overall,0.3515323490568477,0.3676915675651947,-0.028592507223193175,-0.07907776030716329,0.011373919099569321,0.08378832866791447,0.11837421841132875,0.25004617736712326,deliberately_off_manifold_diagnostic
2864601_0.355,aspect,stable_or_near_floor,0.34286611231965036,0.3952370369818614,0.002885813277516469,-0.02013520470217456,0.012505341383318106,0.09761711721497533,0.08295977564673505,0.16684061352702895,deliberately_off_manifold_diagnostic
2864601_0.355,aspect,unstable,0.35102110994732516,0.35649982882979847,-0.042838281690254165,-0.10172255339815583,0.011016627852069704,0.07891950965645415,0.11885238374449457,0.27786508759412354,deliberately_off_manifold_diagnostic
2864601_0.449,log_FSA_grad_x,overall,0.8449389188354979,0.8683465841180299,-0.0629851335889633,-0.13388184719738527,-0.007466811582446099,0.1883749163665809,0.16398161034713685,0.44780513713210385,deliberately_off_manifold_diagnostic
2864601_0.449,log_FSA_grad_x,stable_or_near_floor,0.8632445422812588,0.8656291176887908,-0.12270812300523204,-0.21050405801290828,0.005186054669320583,0.066896998178019,0.09285049220729148,0.21992888055041487,deliberately_off_manifold_diagnostic
