case_type,row_id,equilibrium_file,score,oriented_score,expected_sign,hypothesis,s05_concept,member_id,unit_id,gradient_set,stratum,registered_lag,q_total,zonal_phi2,a_over_lt,a_over_ln,canonical_prediction,original_prediction,density_mean,validity_tag,feature_claims_permitted,plasma_claims_permitted,selection_rule
supporting,58944,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001968.h5,-0.8858854339560895,0.8858854339560895,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,1.8972653150558472,1.9376278492308898,0.8310657143592834,0.21097908914089203,0.30012757,0.26695406,0.17788996,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
supporting,92837,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001996.h5,-0.8788373226850549,0.8788373226850549,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,9.661955833435059,0.9456737972337549,1.8556894063949585,-0.012046164833009243,2.071092,2.2399197,0.9013031,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
supporting,63815,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_003186.h5,-0.8737858822348916,0.8737858822348916,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,16.639205932617188,24.814161012011,4.332276344299316,0.46188828349113464,2.899485,2.92888,1.1188561,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
supporting,56211,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001284.h5,-0.8725107180895447,0.8725107180895447,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,25.948835372924805,33.953156253760426,5.207817554473877,-0.2060619741678238,3.2808392,3.291377,0.65958375,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
supporting,76143,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_003070.h5,-0.8723208000253442,0.8723208000253442,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,0.1666853278875351,0.002777026270102862,1.2115797996520996,0.3116442561149597,-1.5975679,-1.8933872,1.4042407,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
contradicting,81402,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000237.h5,0.880188212442712,-0.880188212442712,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,62.53779220581055,35.40201222659436,4.235074996948242,-0.3147319257259369,3.9147294,3.8944159,0.20489724,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
contradicting,99030,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_003545.h5,0.6907998273776219,-0.6907998273776219,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,0.3361700475215912,0.033674677150512686,3.094834804534912,2.6153624057769775,-1.4345174,-1.3913879,0.6383924,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
contradicting,79872,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000161.h5,0.6823987491512891,-0.6823987491512891,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,0.3033908009529114,0.013826391582958876,4.055217266082764,3.6764655113220215,-1.7563864,-1.7850045,0.5357194,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
contradicting,84448,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000390.h5,0.6630954862399576,-0.6630954862399576,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,0.7766603827476501,0.4127915595521779,4.406218528747559,4.337193965911865,-0.17921084,-0.18896538,0.048336938,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
contradicting,13767,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000262.h5,0.6359165072042202,-0.6359165072042202,-1,radial_drift_geodesic_curvature_zonal_flow,radial_drift_geodesic_curvature__mean_w25,2864601_0.437,2864601_0.437:u008,varied,unstable,44,4.389832973480225,3.6254375740367615,1.3409820795059204,0.11019267141819,1.336809,1.6370926,0.13003415,observed-comparison,True,True,extreme per-row spatial correlation at registered panel lag
