source_family,source_id,member_id,function,method,summary,source_signed,validity_tag,source_feature_claims_permitted,gradient_set,stratum,sample_count,spearman_rho,spearman_ci95_lower,spearman_ci95_upper,bootstrap_stable,bootstrap_replicates,bootstrap_unit,gx_quantity,feature_claims_permitted,association_not_causation
s05_density,2864601_0.371:u017,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,-0.06738540393173491,-0.1945840563045038,0.06699636710206339,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u017,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,0.02934060401935752,-0.04246644990658298,0.1014152953306575,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.371:u017,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,0.3593426111755401,0.2931256901683037,0.4223605994123046,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u017,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,0.0,0.0,0.0,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u017,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,0.3148141803403144,0.25267805454477776,0.3796808924548597,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.371:u004,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,-0.16956941631889244,-0.22082846243864915,-0.10732754873332027,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u004,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,0.01038523535620899,-0.11086065384563866,0.13146522088770465,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u004,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,-0.1024660037041786,-0.17150258592022535,-0.03439324309948097,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.371:u004,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,-0.5408711321280852,-0.5914883756611256,-0.4902946575474726,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u004,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,-0.7490118577075099,-0.9329376484421075,-0.4034896610309962,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u004,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,-0.49673423975909653,-0.5470063832797802,-0.4368843119554869,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.371:u019,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,-0.1573375756776962,-0.21316769924475754,-0.09231847556153673,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u019,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,0.12390345820651381,-0.0038763270807456642,0.23278732721244816,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u019,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,-0.08477164455806097,-0.15284447078550295,-0.01743803013767658,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.371:u019,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,-0.5345975073541805,-0.5866913015191979,-0.48110440531263865,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.371:u019,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,-0.7470355731225297,-0.9142760442565888,-0.39463990670733556,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
