entity,entity_type,shift,exact_pooling_subgroup,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.437,member,0,True,0.0,0.0,0.0,0.0,0.0,0.26622242545337277,0.0
2864601_0.437,member,1,False,-0.001510352123528719,0.030510365162044764,0.07216993226651094,0.9773896932601929,0.03556793517325668,0.26622242545337277,0.271088854154967
2864601_0.437,member,2,False,-0.0013384639546275138,0.040433825053274634,0.09768367969075564,1.2643111944198608,0.04814202643138961,0.26622242545337277,0.36692506096885646
2864601_0.437,member,3,False,-0.0011566739976406097,0.045902257576584816,0.10382366336056482,1.3744723796844482,0.051168030949811,0.26622242545337277,0.3899884210871969
2864601_0.437,member,4,False,-0.00040403300523757934,0.04445406027883291,0.10159948506586244,1.5311038494110107,0.05007187598727616,0.26622242545337277,0.38163383453831906
2864601_0.437,member,5,False,0.0007263908833265305,0.0476545369848609,0.10643392061537486,1.1600319743156433,0.05245445949295773,0.26622242545337277,0.39979321965127285
2864601_0.437,member,6,False,0.0018257276527583598,0.04933354522660375,0.10824642935451428,0.8715795278549194,0.05334772891015222,0.26622242545337277,0.40660146931714053
2864601_0.437,member,7,False,0.0034175512455403806,0.04574875011667609,0.10002089488156556,0.907245397567749,0.049293890036937876,0.26622242545337277,0.37570424321403983
2864601_0.437,member,8,False,0.004883192751556635,0.036214530643075706,0.08017734689116589,0.856462836265564,0.0395142767497372,0.26622242545337277,0.3011667659274949
2864601_0.437,member,9,False,0.006622465565800667,0.04523842504620552,0.09766014038877686,0.8409477472305298,0.04813042541777479,0.26622242545337277,0.3668366412876869
2864601_0.437,member,10,False,0.0072017374634742734,0.05048449137806892,0.11297145619022221,1.2566344738006592,0.05567639187139409,0.26622242545337277,0.4243498871210174
2864601_0.437,member,11,False,0.005424783073365688,0.050621281318366525,0.11204912585153146,1.3653132319450378,0.05522183434771876,0.26622242545337277,0.4208853768074327
2864601_0.437,member,12,False,0.0044873710796236995,0.045507711477577685,0.09990326535874601,1.424487829208374,0.04923591798250035,0.26622242545337277,0.37526239642889686
2864601_0.437,member,13,False,0.0041947363279759885,0.04495218734815717,0.09710582079189867,0.8333456516265869,0.047857236807672975,0.26622242545337277,0.3647544741076148
2864601_0.437,member,14,False,0.0033588309325277804,0.04295378999784589,0.10076572945093193,1.4055141806602478,0.049660971269329675,0.26622242545337277,0.3785020337010656
2864601_0.437,member,15,False,0.0012147186957299709,0.03399309063330293,0.07874419817156135,1.0989630222320557,0.038807969577876605,0.26622242545337277,0.29578349020545947
2864601_0.437,member,16,False,0.0005767482742667198,0.017371793165802955,0.04043821862354439,0.5268265008926392,0.01992940679523992,0.26622242545337277,0.1518963646833234
2864601_0.437,member,17,False,-0.0019407677240669728,0.0350506764985621,0.08142428575106067,1.0395361185073853,0.040128813013537074,0.26622242545337277,0.3058505894550256
2864601_0.437,member,18,False,-0.0012390724606812001,0.04317972172424197,0.10463451724270925,1.4624478816986084,0.051567648871144144,0.26622242545337277,0.393034197117385
2864601_0.437,member,19,False,-0.0014949406236410142,0.04832587953656912,0.11107150704667834,1.4316822290420532,0.05474002868179732,0.26622242545337277,0.4172131887744815
2864601_0.437,member,20,False,-0.0004689765125513077,0.046778335586190226,0.10686646847571067,1.589858889579773,0.05266763461689913,0.26622242545337277,0.4014179808245631
2864601_0.437,member,21,False,0.000388967040926218,0.049549462426453826,0.11304618537543287,1.2525073289871216,0.05571322109835397,0.26622242545337277,0.4246305891884086
2864601_0.437,member,22,False,0.0005273985676467419,0.051184094239026305,0.11503937783612833,1.5005569458007812,0.05669553794421219,0.26622242545337277,0.43211753345052734
2864601_0.437,member,23,False,0.001849083960056305,0.046854190416634085,0.10359191317980206,1.3650470972061157,0.05105381613559556,0.26622242545337277,0.38911790771715266
2864601_0.437,member,24,False,0.00329912568628788,0.036248579882085324,0.07950543351501242,0.9096302390098572,0.0391831337009005,0.26622242545337277,0.2986428862242385
2864601_0.437,member,25,False,0.0048054600805044175,0.04456673215329647,0.09566891701144759,0.9371981620788574,0.04714907900693458,0.26622242545337277,0.35935709340986155
2864601_0.437,member,26,False,0.004317403379827738,0.04953196294233203,0.11097464816575243,1.2306639552116394,0.054692293145826396,0.26622242545337277,0.416849361870114
