entity,entity_type,gradient_set,stratum,n,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change
2864601_0.270,member,fixed,unstable,977,-2.586731769167413e-08,1.2396789988085338e-07,1.6297207850588082e-07,4.76837158203125e-07,8.209768811052853e-08
2864601_0.352,member,varied,all,1000,2.5727786123752596e-09,8.320389315485954e-08,1.3547383001746977e-07,9.5367431640625e-07,6.556808357475538e-08
2864601_0.352,member,varied,stable_near_floor,240,-1.3659397761027017e-09,7.810691992441813e-08,1.1486143946495828e-07,2.384185791015625e-07,5.955587158894712e-08
2864601_0.352,member,varied,unstable,760,3.8165844192630366e-09,8.481346364868314e-08,1.4135994814177922e-07,9.5367431640625e-07,6.706771755375553e-08
2864601_0.352,member,fixed,all,1000,7.152557373046875e-10,1.3566017150878905e-07,1.8953902162887375e-07,7.152557373046875e-07,9.151135007236691e-08
2864601_0.352,member,fixed,stable_near_floor,23,0.0,1.2439230213994565e-07,1.7221334421983127e-07,2.384185791015625e-07,7.244684661790523e-08
2864601_0.352,member,fixed,unstable,977,7.320938969341735e-10,1.3592543353077822e-07,1.8992785273984283e-07,7.152557373046875e-07,9.204337096414288e-08
2864601_0.487,member,varied,all,1000,1.0825751814991237e-09,8.212504326365888e-08,1.3555197612746937e-07,4.76837158203125e-07,6.556637903749543e-08
2864601_0.487,member,varied,stable_near_floor,240,7.2332719961802164e-09,9.266659617424011e-08,1.340008893555101e-07,2.384185791015625e-07,6.936176504225869e-08
2864601_0.487,member,varied,unstable,760,-8.597501284001689e-10,7.879613181821217e-08,1.3603811882842262e-07,4.76837158203125e-07,6.452263602734023e-08
2864601_0.487,member,fixed,all,1000,-6.198883056640625e-09,1.533031463623047e-07,1.9804534585280596e-07,8.344650268554688e-07,1.0558520153679465e-07
2864601_0.487,member,fixed,stable_near_floor,23,-5.183012589164402e-08,1.3475832731827445e-07,1.792453316583901e-07,4.76837158203125e-07,9.409416740463944e-08
2864601_0.487,member,fixed,unstable,977,-5.124657278539215e-09,1.5373971835617644e-07,1.9846647120662692e-07,8.344650268554688e-07,1.0584890710102815e-07
2864601_0.272,member,varied,all,1000,-2.883549313992262e-09,8.346402319148183e-08,1.3679570349383028e-07,9.5367431640625e-07,6.626086838817205e-08
2864601_0.272,member,varied,stable_near_floor,240,-4.221995671590169e-09,8.319814999898274e-08,1.1948835967021855e-07,3.5762786865234375e-07,6.222893649977085e-08
2864601_0.272,member,varied,unstable,760,-2.4608820431718703e-09,8.354798314700785e-08,1.4182305576412743e-07,9.5367431640625e-07,6.727731388491868e-08
2864601_0.272,member,fixed,all,1000,-6.67572021484375e-09,1.2111663818359375e-07,1.6414560773905281e-07,4.76837158203125e-07,8.217857055613142e-08
2864601_0.272,member,fixed,stable_near_floor,23,5.183012589164402e-08,1.4512435249660327e-07,2.079673709842317e-07,4.76837158203125e-07,1.0386403922634436e-07
2864601_0.272,member,fixed,unstable,977,-8.053032866275908e-09,1.2055146169516056e-07,1.6297207850588082e-07,4.76837158203125e-07,8.159574668548509e-08
2864601_0.404,member,varied,all,1000,-3.777211531996727e-09,8.610892109572887e-08,1.4077833595980172e-07,9.5367431640625e-07,6.806748309994685e-08
2864601_0.404,member,varied,stable_near_floor,240,9.313225746154785e-09,9.474654992421468e-08,1.332383809709359e-07,2.384185791015625e-07,6.954222386813038e-08
2864601_0.404,member,varied,unstable,760,-7.911033830360362e-09,8.338124883410178e-08,1.430768472034177e-07,9.5367431640625e-07,6.767971560544023e-08
2864601_0.404,member,fixed,all,1000,1.52587890625e-08,1.4162063598632812e-07,1.919232539892016e-07,4.76837158203125e-07,7.583823956982514e-08
2864601_0.404,member,fixed,stable_near_floor,23,6.219615106997282e-08,1.2439230213994565e-07,1.7221334421983127e-07,2.384185791015625e-07,7.460606025245505e-08
2864601_0.404,member,fixed,unstable,977,1.4153815340727354e-08,1.4202621600522965e-07,1.9236292463805475e-07,4.76837158203125e-07,7.586207859837207e-08
2864601_0.274,member,varied,all,1000,-2.016939106397331e-09,8.424713450949639e-08,1.4041104536989177e-07,9.5367431640625e-07,6.71245955250964e-08
2864601_0.274,member,varied,stable_near_floor,240,-1.624381790558497e-08,8.727268626292546e-08,1.2905730679923815e-07,3.5762786865234375e-07,6.706388828864432e-08
2864601_0.274,member,varied,unstable,760,2.4757594617671872e-09,8.329169711367668e-08,1.4381033029965275e-07,9.5367431640625e-07,6.71400609794981e-08
2864601_0.274,member,fixed,all,1000,9.906291961669921e-08,1.5342235565185546e-07,1.9721843056750017e-07,5.960464477539062e-07,1.0925482042791497e-07
2864601_0.274,member,fixed,stable_near_floor,23,9.329422660495924e-08,2.7988267981487774e-07,3.334897070790459e-07,5.960464477539062e-07,1.9449262071244798e-07
2864601_0.274,member,fixed,unstable,977,9.91987230345805e-08,1.5044529581997266e-07,1.928537916683817e-07,5.960464477539062e-07,1.0671423634920549e-07
2864601_0.240,member,varied,all,1000,-8.580507710576058e-09,8.941465057432652e-08,1.3958533007719958e-07,4.76837158203125e-07,6.733447625350589e-08
2864601_0.240,member,varied,stable_near_floor,240,-1.7664084831873574e-08,8.863086501757304e-08,1.2352488169688136e-07,3.5762786865234375e-07,6.438956093713865e-08
2864601_0.240,member,varied,unstable,760,-5.712009672271578e-09,8.966216180277499e-08,1.442861248991133e-07,4.76837158203125e-07,6.807560965171687e-08
2864601_0.240,member,fixed,all,1000,-2.5987625122070312e-08,1.266002655029297e-07,1.683343230066667e-07,4.76837158203125e-07,8.427387260379218e-08
2864601_0.240,member,fixed,stable_near_floor,23,-3.109807553498641e-08,1.5549037767493207e-07,1.9572307325963565e-07,4.76837158203125e-07,9.838951428818355e-08
2864601_0.240,member,fixed,unstable,977,-2.586731769167413e-08,1.2592015027267785e-07,1.6763564852032932e-07,4.76837158203125e-07,8.391599973838728e-08
2864601_0.417,member,varied,all,1000,-1.6470439732074737e-09,8.155172690749168e-08,1.32906079021927e-07,4.76837158203125e-07,6.442757029384863e-08
2864601_0.417,member,varied,stable_near_floor,240,-1.3364478945732116e-08,7.318643232186635e-08,1.1019163747807572e-07,2.384185791015625e-07,5.7543934658932004e-08
2864601_0.417,member,varied,unstable,760,2.0531986496950453e-09,8.419339888189969e-08,1.3931174133537034e-07,4.76837158203125e-07,6.61046067378673e-08
2864601_0.417,member,fixed,all,1000,-9.5367431640625e-10,1.4638900756835937e-07,1.9747046700333268e-07,4.76837158203125e-07,6.210385430481416e-08
2864601_0.417,member,fixed,stable_near_floor,23,-3.109807553498641e-08,1.1402627696161685e-07,1.6488172407343975e-07,2.384185791015625e-07,4.4735120212882086e-08
2864601_0.417,member,fixed,unstable,977,-2.4403129897805784e-10,1.4715087328376888e-07,1.9817309858326776e-07,4.76837158203125e-07,6.257846167409938e-08
2864601_0.494,member,varied,all,1000,2.3439060896635056e-09,8.363393135368824e-08,1.3705093487295303e-07,4.76837158203125e-07,6.601063644502348e-08
2864601_0.494,member,varied,stable_near_floor,240,1.2421514838933945e-08,8.444379394253095e-08,1.2632343100662744e-07,3.5762786865234375e-07,6.584537137297746e-08
2864601_0.494,member,varied,unstable,760,-8.384966732640016e-10,8.337818527300106e-08,1.4026822302308857e-07,4.76837158203125e-07,6.605316502203952e-08
2864601_0.494,member,fixed,all,1000,8.797645568847656e-08,1.52587890625e-07,2.0454035367514816e-07,7.152557373046875e-07,1.0163368693675512e-07
2864601_0.494,member,fixed,stable_near_floor,23,2.695166546365489e-07,2.695166546365489e-07,3.4442668843966253e-07,7.152557373046875e-07,1.6780217294312976e-07
2864601_0.494,member,fixed,unstable,977,8.370273554947383e-08,1.498352175725275e-07,2.000723312813546e-07,7.152557373046875e-07,9.946065063000055e-08
2864601_0.260,member,varied,all,1000,-1.155771315097809e-09,8.500646799802781e-08,1.367067117835781e-07,7.152557373046875e-07,6.601469330909782e-08
2864601_0.260,member,varied,stable_near_floor,240,-4.532436529795328e-09,7.854153712590535e-08,1.1303048905438739e-07,2.384185791015625e-07,5.909167977496339e-08
2864601_0.260,member,varied,unstable,760,-8.945598414069727e-11,8.704802511554015e-08,1.4337341334536436e-07,7.152557373046875e-07,6.768273261244715e-08
2864601_0.260,member,fixed,all,1000,-4.1723251342773435e-08,1.4519691467285156e-07,1.9703820716280352e-07,7.152557373046875e-07,9.231223005680495e-08
2864601_0.260,member,fixed,stable_near_floor,23,-7.256217624830164e-08,1.3475832731827445e-07,1.925403721540566e-07,4.76837158203125e-07,8.793799752908033e-08
2864601_0.260,member,fixed,unstable,977,-4.099725822831372e-08,1.4544265419092247e-07,1.9714285640921145e-07,7.152557373046875e-07,9.241808596599464e-08
2864601_0.434,member,varied,all,1000,-8.381903171539307e-10,8.616503328084946e-08,1.441990038687365e-07,9.5367431640625e-07,6.937746973515688e-08
2864601_0.434,member,varied,stable_near_floor,240,-2.3438284794489544e-08,8.391216397285461e-08,1.2367832881405115e-07,2.384185791015625e-07,6.434802540256571e-08
2864601_0.434,member,varied,unstable,760,6.2986816230573156e-09,8.687646569390046e-08,1.5009748478010753e-07,9.5367431640625e-07,7.06180331152849e-08
2864601_0.434,member,fixed,all,1000,-2.1338462829589843e-08,1.1575222015380859e-07,1.6297265863546727e-07,4.76837158203125e-07,8.124431852198495e-08
2864601_0.434,member,fixed,stable_near_floor,23,2.0732050356657608e-08,8.292820142663043e-08,1.406116067456218e-07,2.384185791015625e-07,6.937006141543802e-08
2864601_0.434,member,fixed,unstable,977,-2.232886385649229e-08,1.1652494526202262e-07,1.634622212020664e-07,4.76837158203125e-07,8.150858832405455e-08
2864601_0.460,member,varied,all,1000,8.086208254098891e-09,8.526211604475975e-08,1.3378996528906036e-07,4.76837158203125e-07,6.494206217897948e-08
2864601_0.460,member,varied,stable_near_floor,240,1.986821492513021e-09,9.077290693918864e-08,1.3065098164044456e-07,2.384185791015625e-07,6.814161079583637e-08
2864601_0.460,member,varied,unstable,760,1.0012330389336535e-08,8.352186628862431e-08,1.3476603435106352e-07,4.76837158203125e-07,6.407591790042673e-08
2864601_0.460,member,fixed,all,1000,2.5033950805664064e-09,7.76052474975586e-08,1.0853938713159597e-07,3.5762786865234375e-07,5.6740088528704015e-08
2864601_0.460,member,fixed,stable_near_floor,23,5.183012589164402e-08,1.3475832731827445e-07,1.792453316583901e-07,2.384185791015625e-07,8.457309678511296e-08
2864601_0.460,member,fixed,unstable,977,1.342172144379318e-09,7.625978093064307e-08,1.0630980640218073e-07,3.5762786865234375e-07,5.572400035653345e-08
2864601_0.402,member,varied,all,1000,3.026798367500305e-09,7.978267967700958e-08,1.299412682520222e-07,4.76837158203125e-07,6.301725468141102e-08
2864601_0.402,member,varied,stable_near_floor,240,1.2510766585667928e-08,8.006269733111064e-08,1.1918309322503963e-07,3.5762786865234375e-07,6.235254462486253e-08
2864601_0.402,member,varied,unstable,760,3.1861035447371636e-11,7.969425304939873e-08,1.3315813148075383e-07,4.76837158203125e-07,6.318881171667578e-08
2864601_0.402,member,fixed,all,1000,-7.510185241699219e-09,1.0406970977783203e-07,1.3876493843582648e-07,4.76837158203125e-07,7.167198161759327e-08
2864601_0.402,member,fixed,stable_near_floor,23,4.1464100713315216e-08,1.2439230213994565e-07,1.6858739404357614e-07,3.5762786865234375e-07,8.733504358779255e-08
2864601_0.402,member,fixed,unstable,977,-8.663111113721052e-09,1.0359128641618555e-07,1.3798524249560367e-07,4.76837158203125e-07,7.126428648662474e-08
2864601_0.279,member,varied,all,1000,5.160109139978886e-09,8.753628935664893e-08,1.3834720285288124e-07,4.76837158203125e-07,6.678798491860654e-08
2864601_0.279,member,varied,stable_near_floor,240,-1.058603326479594e-08,9.719903270403543e-08,1.3532686388021936e-07,3.5762786865234375e-07,7.068755070262769e-08
2864601_0.279,member,varied,unstable,760,1.0132575162539357e-08,8.448489672063212e-08,1.392873880459266e-07,4.76837158203125e-07,6.57449499184204e-08
2864601_0.279,member,fixed,all,1000,2.6226043701171873e-09,1.1563301086425781e-07,1.6808087093367165e-07,4.76837158203125e-07,7.79835634965197e-08
2864601_0.279,member,fixed,stable_near_floor,23,-2.0732050356657608e-08,1.2439230213994565e-07,1.7221334421983127e-07,2.384185791015625e-07,7.776194906169926e-08
2864601_0.279,member,fixed,unstable,977,3.172406886714752e-09,1.1542680441662136e-07,1.6798236171083173e-07,4.76837158203125e-07,7.798907078599096e-08
2864601_0.353,member,varied,all,1000,6.850343197584152e-09,8.386233821511268e-08,1.367171999472799e-07,9.5367431640625e-07,6.595358703508841e-08
2864601_0.353,member,varied,stable_near_floor,240,1.923181116580963e-08,9.181288381417592e-08,1.3276296479951608e-07,3.5762786865234375e-07,6.97211651904484e-08
2864601_0.353,member,varied,unstable,760,2.9404059444603166e-09,8.135163960488219e-08,1.3794235830906587e-07,9.5367431640625e-07,6.496203380880903e-08
2864601_0.353,member,fixed,all,1000,4.839897155761719e-08,1.246929168701172e-07,1.6064529922411935e-07,5.960464477539062e-07,8.689364281281874e-08
2864601_0.353,member,fixed,stable_near_floor,23,1.2957531472911005e-07,1.7103941544242526e-07,1.9729517139221565e-07,4.76837158203125e-07,1.1288510042533998e-07
2864601_0.353,member,fixed,unstable,977,4.648796245532002e-08,1.236018529323863e-07,1.5968119567933316e-07,5.960464477539062e-07,8.626430314056104e-08
2864601_0.175,member,varied,all,1000,-1.7946586012840271e-09,9.043235331773758e-08,1.457566692195723e-07,9.5367431640625e-07,6.983051008643462e-08
2864601_0.175,member,varied,stable_near_floor,240,-5.587935447692871e-09,9.872019290924072e-08,1.3642228057078155e-07,2.384185791015625e-07,7.129249000650765e-08
2864601_0.175,member,varied,unstable,760,-5.967817024180764e-10,8.781514081515764e-08,1.485825897806896e-07,9.5367431640625e-07,6.945623002400287e-08
2864601_0.175,member,fixed,all,1000,1.1205673217773438e-08,1.5234947204589844e-07,2.1016026373900427e-07,7.152557373046875e-07,9.282508658907909e-08
2864601_0.175,member,fixed,stable_near_floor,23,6.219615106997282e-08,1.6585640285326086e-07,2.1091741011843272e-07,4.76837158203125e-07,8.820417873558329e-08
2864601_0.175,member,fixed,unstable,977,1.000528325810037e-08,1.5203149926333003e-07,2.1014240654618182e-07,7.152557373046875e-07,9.29436622108446e-08
2864601_0.277,member,varied,all,1000,-1.7407000996172429e-09,8.702074410393835e-08,1.4135308938956312e-07,4.76837158203125e-07,6.820987058514087e-08
2864601_0.277,member,varied,stable_near_floor,240,2.2351741790771484e-09,8.766849835713705e-08,1.2603011838037198e-07,3.5762786865234375e-07,6.572704894218771e-08
2864601_0.277,member,varied,unstable,760,-2.996239345520735e-09,8.681619012924401e-08,1.4585787108030925e-07,4.76837158203125e-07,6.883738329639946e-08
2864601_0.277,member,fixed,all,1000,4.76837158203125e-10,1.1920928955078125e-07,1.6993074113088094e-07,4.76837158203125e-07,8.383981129636679e-08
2864601_0.277,member,fixed,stable_near_floor,23,4.1464100713315216e-08,1.0366025178328804e-07,1.5720855555433917e-07,2.384185791015625e-07,7.683610232473578e-08
2864601_0.277,member,fixed,unstable,977,-4.880625979561157e-10,1.1957533649924832e-07,1.7021878447519018e-07,4.76837158203125e-07,8.400072316202651e-08
2864601_0.463,member,varied,all,1000,2.3525208234786985e-09,8.017756044864655e-08,1.3398083007849066e-07,7.152557373046875e-07,6.451331208788532e-08
2864601_0.463,member,varied,stable_near_floor,240,3.1820187966028848e-09,9.367552896340688e-08,1.328926935366035e-07,2.384185791015625e-07,6.949114552066287e-08
2864601_0.463,member,varied,unstable,760,2.0905740951236928e-09,7.591504407556433e-08,1.343226208053919e-07,7.152557373046875e-07,6.317862615280468e-08
2864601_0.463,member,fixed,all,1000,4.148483276367187e-08,1.2254714965820313e-07,1.7250370944890718e-07,4.76837158203125e-07,8.570130432383963e-08
2864601_0.463,member,fixed,stable_near_floor,23,3.628108812415082e-08,1.3994133990743887e-07,1.7041001343492423e-07,3.5762786865234375e-07,8.780395753095438e-08
2864601_0.463,member,fixed,unstable,977,4.160733647575886e-08,1.2213766513851795e-07,1.7255269203099322e-07,4.76837158203125e-07,8.565478473713102e-08
2864601_0.229,member,varied,all,1000,2.9461616577464155e-09,8.745452669245424e-08,1.4147247247988292e-07,9.5367431640625e-07,6.832800563329721e-08
2864601_0.229,member,varied,stable_near_floor,240,1.3845662275950114e-08,9.095917145411174e-08,1.2863494469305027e-07,2.384185791015625e-07,6.693166009188851e-08
2864601_0.229,member,varied,unstable,760,-4.957859058968576e-10,8.634779676772029e-08,1.4529096356190262e-07,9.5367431640625e-07,6.868735819612681e-08
2864601_0.229,member,fixed,all,1000,9.1552734375e-08,1.5425682067871094e-07,1.9529960075638193e-07,7.152557373046875e-07,1.2192262788945487e-07
2864601_0.229,member,fixed,stable_near_floor,23,9.329422660495924e-08,1.3475832731827445e-07,1.8265983526298375e-07,3.5762786865234375e-07,1.1290931357258472e-07
2864601_0.229,member,fixed,unstable,977,9.151173711677169e-08,1.5471584355208867e-07,1.9558731830008064e-07,7.152557373046875e-07,1.2213097456958112e-07
2864601_0.224,member,varied,all,1000,6.0446327552199366e-09,8.2161626778543e-08,1.348314098150429e-07,9.5367431640625e-07,6.48970398273811e-08
2864601_0.224,member,varied,stable_near_floor,240,-9.926346441109975e-09,8.021015673875809e-08,1.1892768053244178e-07,4.76837158203125e-07,6.225400019999361e-08
2864601_0.224,member,varied,unstable,760,1.1088099869850435e-08,8.277788047531717e-08,1.394774019871927e-07,9.5367431640625e-07,6.555285951230168e-08
2864601_0.224,member,fixed,all,1000,2.377033233642578e-07,2.772808074951172e-07,3.4094690432727557e-07,9.5367431640625e-07,1.6472883693029065e-07
2864601_0.224,member,fixed,stable_near_floor,23,2.695166546365489e-07,3.3171280570652173e-07,3.653196705259675e-07,4.76837158203125e-07,1.7861877017907024e-07
2864601_0.224,member,fixed,unstable,977,2.3695439130769415e-07,2.759993991441834e-07,3.403521070263652e-07,9.5367431640625e-07,1.6439592907088294e-07
2864601_0.373,member,varied,all,1000,-9.72289126366377e-09,7.999490480870008e-08,1.3026743515928645e-07,4.76837158203125e-07,6.30029439654991e-08
2864601_0.373,member,varied,stable_near_floor,240,-1.864585404594739e-09,9.077484719455242e-08,1.355518631715547e-07,2.384185791015625e-07,7.037057672503928e-08
2864601_0.373,member,varied,unstable,760,-1.2204461534948726e-08,7.659071247632566e-08,1.2855354627113114e-07,4.76837158203125e-07,6.091659329028016e-08
