member_id,stored_validation_rank,stored_validation_r2,unit,dead,near_dead,active_fraction,zero_fraction,mean,std,q01,median,q99,maximum,original_dead,original_near_dead,original_active_fraction,original_mean,original_std,original_q01,original_median,original_q99,original_maximum
2864601_0.437,1,0.9872478424249335,0,False,False,0.8936041666666666,0.10639583333333333,1.0638870811367587,0.9137171077646868,0.0,0.8833519220352173,3.752134521007547,5.630600452423096,False,False,0.981,1.0679013577434235,0.8179679780415924,0.0,0.9239869713783264,3.4314934277534483,4.69594144821167
2864601_0.437,1,0.9872478424249335,1,False,False,0.9485625,0.0514375,1.8733384190468696,1.269549507272635,0.0,1.7017854452133179,6.076597595214855,12.729996681213379,False,False,0.963,1.8731636866438202,1.2185845278659686,0.0,1.735139787197113,5.552322988510132,9.767897605895996
2864601_0.437,1,0.9872478424249335,2,False,False,0.792125,0.207875,0.8597054075620209,0.770425911754122,0.0,0.800632655620575,3.231762006282839,9.481535911560059,False,False,0.851,0.8573229616263998,0.7475624643719513,0.0,0.8107616603374481,2.9110982537269576,7.692079544067383
2864601_0.437,1,0.9872478424249335,3,False,False,0.16395833333333334,0.8360416666666667,0.19609756411936072,0.5480596240060008,0.0,0.0,2.597966628074661,3.0557258129119873,False,False,0.208,0.19748567862820346,0.5399091738852768,0.0,0.0,2.5331098556518548,2.9840872287750244
2864601_0.437,1,0.9872478424249335,4,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864601_0.437,1,0.9872478424249335,5,False,False,0.9547291666666666,0.04527083333333334,1.000417461320889,0.6622609995152786,0.0,0.9367406368255615,3.27473297595979,10.397564888000488,False,False,0.984,0.9948579539820784,0.6229136937286671,0.0,0.9429659843444824,3.154316039085388,7.072517395019531
2864601_0.437,1,0.9872478424249335,6,False,False,0.3606666666666667,0.6393333333333333,0.2739992352433097,0.4819434419219413,0.0,0.0,1.7568695545196533,3.313223361968994,False,False,0.51,0.2753453394510434,0.4454590992908604,0.0,0.005763289984315634,1.6700582408905027,1.8444385528564453
2864601_0.437,1,0.9872478424249335,7,False,False,0.9902916666666667,0.009708333333333333,1.2697477922854306,0.5872660707278325,0.009576747938990597,1.2483962178230286,3.1105728149414062,7.521586894989014,False,False,0.999,1.267079993345309,0.5567417740169183,0.12709004908800126,1.2579920291900635,3.035314302444458,5.309283256530762
2864601_0.437,1,0.9872478424249335,8,False,False,0.80909375,0.19090625,0.8315175803984663,0.7124765167087915,0.0,0.7417122721672058,2.5550029182434155,6.0819525718688965,False,False,0.9,0.8308108055074699,0.6557008712817509,0.0,0.7447665631771088,2.399573082923889,3.0527210235595703
2864601_0.437,1,0.9872478424249335,9,False,False,0.04411458333333333,0.9558854166666667,0.03838875299335693,0.22038922986971674,0.0,0.0,1.5044483292103066,2.364319086074829,False,False,0.062,0.03819313908368349,0.21282024831074975,0.0,0.0,1.4646848917007447,2.0378663539886475
2864601_0.371,2,0.9872127152434337,0,False,False,0.8302083333333333,0.16979166666666667,2.0544443045012315,2.0316798569026555,0.0,1.5554875135421753,8.52174474716191,16.40224838256836,False,False,0.923,2.059459049600875,1.8598993261918335,0.0,1.69120454788208,8.398366832733151,12.144038200378418
2864601_0.371,2,0.9872127152434337,1,False,False,0.03078125,0.96921875,0.010857115147170892,0.08230263308248446,0.0,0.0,0.40702053904533386,2.349059581756592,False,False,0.067,0.01012414834043011,0.0502456202190645,0.0,0.0,0.27947550386190406,0.5898273587226868
2864601_0.371,2,0.9872127152434337,2,False,False,0.08470833333333333,0.9152916666666666,0.08800144702897372,0.36712114706053034,0.0,0.0,2.05803005218507,4.706269264221191,False,False,0.125,0.09201565646380186,0.3224829089565645,0.0,0.0,1.7088389372825619,2.3341236114501953
2864601_0.371,2,0.9872127152434337,3,False,False,0.3017916666666667,0.6982083333333333,0.48615212431505384,1.0697565840624743,0.0,0.0,4.362523555755615,17.591428756713867,False,False,0.488,0.49956707123015076,0.8762701404978,0.0,0.0,3.1273310828208913,8.116745948791504
2864601_0.371,2,0.9872127152434337,4,False,False,0.14247916666666666,0.8575208333333333,0.5626656178140664,1.7271943946661632,0.0,0.0,8.943496704101562,10.888999938964844,False,False,0.169,0.5662419856395572,1.7165639392011514,0.0,0.0,8.803587799072265,10.428576469421387
2864601_0.371,2,0.9872127152434337,5,False,False,0.2648229166666667,0.7351770833333333,0.42989079778019673,1.0319280855510682,0.0,0.0,4.810711584091191,13.5494384765625,False,False,0.44,0.44156734605287784,0.8503453608065286,0.0,0.0,4.122169618606567,5.7048020362854
2864601_0.371,2,0.9872127152434337,6,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864601_0.371,2,0.9872127152434337,7,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864601_0.371,2,0.9872127152434337,8,False,False,0.012197916666666666,0.9878020833333333,0.01066385609330852,0.14417982346635583,0.0,0.0,0.15346519142391057,9.464521408081055,False,False,0.035,0.012697342268191279,0.09094902997841524,0.0,0.0,0.4225689843297004,1.432472586631775
2864601_0.371,2,0.9872127152434337,9,False,False,0.111125,0.888875,0.1883505952168589,0.858528631240639,0.0,0.0,4.962645549774275,11.357818603515625,False,False,0.297,0.2015962396740215,0.5277234371770262,0.0,0.0,2.6518601298332203,3.785937547683716
2864601_0.371,2,0.9872127152434337,10,False,False,0.03540625,0.96459375,0.09237642692931877,0.5779808346322287,0.0,0.0,3.9810034632683293,5.7648186683654785,False,False,0.042,0.09344246179889888,0.5729849181743683,0.0,0.0,3.8033583831787086,5.584051132202148
2864601_0.371,2,0.9872127152434337,11,False,False,0.44371875,0.55628125,0.5901300283089792,1.0739914348060078,0.0,0.0,4.8932085037231445,10.736674308776855,False,False,0.622,0.6005410957927816,0.9027325527932236,0.0,0.21057849377393723,4.342500114440917,6.032331943511963
2864601_0.371,2,0.9872127152434337,12,False,False,0.02603125,0.97396875,0.030532889643458475,0.2579190169219324,0.0,0.0,1.1682092714309806,7.41379451751709,False,False,0.073,0.033916463256813585,0.1705770786343603,0.0,0.0,0.8352057188749298,2.4637837409973145
2864601_0.371,2,0.9872127152434337,13,False,False,0.059208333333333335,0.9407916666666667,0.1222504418140658,0.7366317049199321,0.0,0.0,3.5478241443634033,19.091930389404297,False,False,0.157,0.12718854945991187,0.42472409795522487,0.0,0.0,2.3167430496215813,3.377941131591797
2864601_0.371,2,0.9872127152434337,14,False,False,0.11661458333333333,0.8833854166666667,0.20360101508677658,0.6685219520419265,0.0,0.0,3.238698542118078,7.587844371795654,False,False,0.143,0.20235247348388657,0.6247498034725558,0.0,0.0,3.058258724212646,3.720860719680786
2864601_0.371,2,0.9872127152434337,15,False,False,0.9246666666666666,0.07533333333333334,3.1434766541241816,2.7956738462987167,0.0,2.497523784637451,11.935784063339256,23.688535690307617,False,False,0.952,3.148789943687909,2.766955537180803,0.0,2.4971123933792114,11.931203908920287,17.71940040588379
2864601_0.371,2,0.9872127152434337,16,False,False,0.039760416666666666,0.9602395833333334,0.061116785563504285,0.41548691167118845,0.0,0.0,2.0314223766326904,8.303481101989746,False,False,0.081,0.06764262937847525,0.3279021343876263,0.0,0.0,2.015835320949554,4.19192361831665
2864601_0.371,2,0.9872127152434337,17,False,False,0.87075,0.12925,3.1429970178459303,2.7598366518075763,0.0,2.6833858489990234,11.496605796814025,24.621646881103516,False,False,0.876,3.146969612895744,2.7425234263058518,0.0,2.686340570449829,11.336035327911375,20.073348999023438
2864601_0.371,2,0.9872127152434337,18,False,False,0.31535416666666666,0.6846458333333333,0.44609261912486153,1.0205173876132372,0.0,0.0,4.754185242652906,13.233746528625488,False,False,0.573,0.4342678273546044,0.6408393974420932,0.0,0.10380815714597702,2.467843599319457,4.822881698608398
2864601_0.371,2,0.9872127152434337,19,False,False,0.4251770833333333,0.5748229166666666,0.9759124922547835,1.6726862076564173,0.0,0.0,6.921143879890446,8.04776668548584,False,False,0.523,0.968619198479224,1.6344708732552988,0.0,0.03121971059590578,6.8913731145858765,7.7377448081970215
2864601_0.371,2,0.9872127152434337,20,False,False,0.3403125,0.6596875,0.512431963022628,0.9856863832799149,0.0,0.0,4.112473964691162,16.63348388671875,False,False,0.527,0.5072929505249485,0.753298418009073,0.0,0.0693720392882824,2.9815288805961604,4.708322048187256
