target_kind,target_id,row_id,equilibrium_file,stable_or_near_floor,target_native_value,ebm_oof_prediction,signed_residual_target_minus_formula,fold,split_unit
member_output,2864601_0.437,3497,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000880.h5,False,0.7814768552780151,0.2918504751647653,0.4896263801132498,0,equilibrium_files
member_output,2864601_0.437,3643,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000917.h5,False,1.512614369392395,0.07994476662154952,1.4326696027708454,1,equilibrium_files
member_output,2864601_0.437,3737,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000940.h5,False,-0.9546345472335815,0.2205479250532111,-1.1751824722867927,3,equilibrium_files
member_output,2864601_0.437,4387,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001104.h5,False,-1.3053513765335083,-0.42120614191833433,-0.8841452346151739,3,equilibrium_files
member_output,2864601_0.437,4415,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001111.h5,False,0.014093093574047089,-0.30922927818225165,0.32332237175629874,3,equilibrium_files
member_output,2864601_0.437,4589,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001155.h5,False,1.8754591941833496,0.7819833263292085,1.0934758678541412,1,equilibrium_files
member_output,2864601_0.437,4798,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001207.h5,False,-0.463312029838562,-0.11871426067590729,-0.3445977691626547,1,equilibrium_files
member_output,2864601_0.437,5052,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001272.h5,False,0.9294445514678955,0.3937632385537013,0.5356813129141942,1,equilibrium_files
member_output,2864601_0.437,5181,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001304.h5,False,0.9884217977523804,0.46318837326280227,0.5252334244895781,0,equilibrium_files
member_output,2864601_0.437,5384,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001355.h5,True,-0.8721709251403809,-0.5586106651682541,-0.3135602599721268,0,equilibrium_files
member_output,2864601_0.437,5817,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001464.h5,False,0.7579208016395569,-0.17518031832606978,0.9331011199656267,4,equilibrium_files
member_output,2864601_0.437,6232,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001568.h5,False,1.7260442972183228,1.2437241827399717,0.4823201144783511,1,equilibrium_files
member_output,2864601_0.437,6627,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001667.h5,False,3.2562429904937744,1.8159358604516072,1.4403071300421673,2,equilibrium_files
