target_kind,target_id,feature_name,mean_fold_importance,std_fold_importance,top_k_fold_recurrence,folds,split_unit,importance_method,validity_tag
bottleneck_unit,2864601_0.437:u001,local_shear_abs_mean,0.039834377990527206,0.00862764109445047,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u001,f_Q_integrand_w25_peak,0.13930525195207602,0.004889103004502401,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u001,geodesic_abs_w25_peak,0.018802490002567528,0.005355358102528018,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,a_over_LT,0.03267578796521473,0.001972124884638821,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,a_over_Ln,0.019223725652936327,0.004164086874200257,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,log_f_Q,0.020268016516009686,0.001982819853478973,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,f_stab,0.18177367259523294,0.014617664131469421,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,log_FSA_grad_x,0.04921205293493812,0.006022363244049923,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,bad_curvature_compression,0.08074966258294324,0.008594790828070537,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,paper_bad_curvature_feature_mean_square,0.038495432222777126,0.0014566863607674873,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,geodesic_curvature_abs_mean,0.03964812622828754,0.003313261251438429,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,geodesic_curvature_compression,0.046393258859687474,0.003463589134410996,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
