target_kind,target_id,regime,rows,held_out_r2,held_out_mse,bias_formula_minus_target,residual_std,split_unit,model,model_version,estimand,canonical_function,validity_tag
bottleneck_unit,2864601_0.409:u021,unstable,760,0.8704744642984382,0.044898642297651066,-0.0071732216137029925,0.21177154480555638,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u022,all,1000,0.2594464390510729,0.017566832595001046,0.0002569975703698635,0.1325396791427,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u022,stable_or_near_floor,240,0.24568257313591702,0.016061406915208708,-0.005181567197030476,0.1266276363065795,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u022,unstable,760,0.2627879590239096,0.018042230178093362,0.0019744390758647075,0.13430685674390963,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u023,all,1000,0.7144805490096642,0.009529955535534339,0.0005924885318240873,0.09761969316113422,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u023,stable_or_near_floor,240,0.6981616722011103,0.00805560983750127,-0.0032400066940201405,0.08969454941145516,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u023,unstable,760,0.7182505815475679,0.00999553838754478,0.0018027501820906838,0.09996143496031733,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u024,all,1000,0.5620949868272868,0.01928328823098236,0.0009137127083537085,0.13886127379535648,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u024,stable_or_near_floor,240,0.5610657440325326,0.015849088662611574,0.0005183901807347083,0.12589209639303053,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u024,unstable,760,0.5622721299296028,0.02036777230520472,0.001038551401286027,0.14271192562708837,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u025,all,1000,0.6067217488502574,0.011918495385954657,-0.00037439123086210646,0.10917121972919835,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u025,stable_or_near_floor,240,0.6047872117752271,0.011074460434798084,-0.0067100190191376995,0.10502112206390148,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u025,unstable,760,0.5939721612304851,0.012185032738951468,0.0016263333338565006,0.1103738545980825,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u026,all,1000,0.6704291684293975,0.024996601621170192,5.273637270134657e-05,0.15810312723044154,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u026,stable_or_near_floor,240,0.6568097731402529,0.02455104165485487,0.005801696600329809,0.15658027325117488,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u026,unstable,760,0.6699338310268228,0.025137304768427668,-0.0017627247518129047,0.15853768501487905,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
bottleneck_unit,2864601_0.409:u027,all,1000,0.8135380098057375,0.026520135997470794,0.0009891207657306412,0.16284703754622493,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",invariant_tilde_f,observed-comparison
