target_kind,target_id,concept_set,feature_count,registered_interaction_count,held_out_r2,held_out_r2_ci95_lower,held_out_r2_ci95_upper,gain_over_baseline_trio,gain_ci95_lower,gain_ci95_upper,bootstrap_replicates,bootstrap_unit,split_unit,model,model_version,estimand,validity_tag
ensemble_mean_output,stored_validation_top_member_mean,drives_only,2,0,0.6033978339419456,0.5638239106973877,0.6390877241608173,-0.18337080597219502,-0.21579534219518734,-0.1542405866242815,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
ensemble_mean_output,stored_validation_top_member_mean,baseline_trio,3,0,0.7867686399141406,0.7659741084669252,0.8054769388401926,0.0,0.0,0.0,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
ensemble_mean_output,stored_validation_top_member_mean,paper_five,5,0,0.805464033833429,0.7851669095260493,0.8243717670413528,0.018695393919288428,0.011800578425263927,0.025730279705836735,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
ensemble_mean_output,stored_validation_top_member_mean,all_17_main_effects,17,0,0.8065660694999017,0.7856424346447572,0.8256735925590138,0.01979742958576114,0.012167532158251212,0.028741084930722458,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
ensemble_mean_output,stored_validation_top_member_mean,all_17_registered_interactions,17,5,0.8631588309984835,0.8495167904866376,0.8769706586875469,0.07639019108434286,0.06364030860675532,0.09004338464905005,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
ensemble_mean_output,stored_validation_top_member_mean,baseline_trio_aLT_logfQ_interaction,3,1,0.8115190648670243,0.7889510456289722,0.8313117744910392,0.02475042495288371,0.017886279514147837,0.031934429693553174,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
true_clipped_log_Q,GX_true_target,drives_only,2,0,0.5839166113828869,0.5412034603830428,0.6222586577462487,-0.17998020427797956,-0.2132812880542943,-0.14819504496903377,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
true_clipped_log_Q,GX_true_target,baseline_trio,3,0,0.7638968156608664,0.7381356382424061,0.7871685731356811,0.0,0.0,0.0,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
true_clipped_log_Q,GX_true_target,paper_five,5,0,0.7783116732284419,0.7539798768832637,0.7998759425556592,0.014414857567575434,0.007596586483149978,0.021778446754938438,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
true_clipped_log_Q,GX_true_target,all_17_main_effects,17,0,0.7797930659365856,0.7553275251196432,0.8015462520956618,0.01589625027571917,0.006359033021789381,0.025579612617948576,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
true_clipped_log_Q,GX_true_target,all_17_registered_interactions,17,5,0.8391667615053762,0.8205872740096087,0.8549288372482129,0.07526994584450974,0.06222867397272022,0.08918427680939484,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
true_clipped_log_Q,GX_true_target,baseline_trio_aLT_logfQ_interaction,3,1,0.7906359782266998,0.7662687769830427,0.8142308742168824,0.02673916256583342,0.02044283813228781,0.033929146799732225,2000,equilibrium_files,equilibrium_files,ExplainableBoostingRegressor,interpret-core==0.7.8,"native max(log Q, -2)",observed-comparison
