target_kind,target_id,feature_name,top_k_recurrence,median_importance,importance_ci95_lower,importance_ci95_upper,bootstrap_unit
member_output,2864601_0.437,a_over_LT,1.0,1.3510465842043629,1.2841073063039712,1.4138893144930011,equilibrium_files
member_output,2864601_0.437,a_over_Ln,1.0,0.7334025500089921,0.6688401873094696,0.8042595960581038,equilibrium_files
member_output,2864601_0.437,log_f_Q,0.0,0.06816786394291513,0.048230788349594204,0.09307724869275869,equilibrium_files
member_output,2864601_0.437,f_stab,0.8666666666666667,0.14114326139428526,0.09033088035808368,0.1978327393159466,equilibrium_files
member_output,2864601_0.437,log_FSA_grad_x,0.06666666666666667,0.08150042289193928,0.04616250105816186,0.1121696965751143,equilibrium_files
member_output,2864601_0.437,bad_curvature_compression,0.16666666666666666,0.09886109001102521,0.0789030254972261,0.1247486915100426,equilibrium_files
member_output,2864601_0.437,paper_bad_curvature_feature_mean_square,0.3333333333333333,0.1067083022376824,0.07116033087007965,0.12533834785233003,equilibrium_files
member_output,2864601_0.437,geodesic_curvature_abs_mean,0.03333333333333333,0.057624095861425126,0.03666386516774859,0.10459345317126384,equilibrium_files
member_output,2864601_0.437,geodesic_curvature_compression,0.6,0.1154659866401522,0.0673083656830327,0.15782806311712966,equilibrium_files
member_output,2864601_0.437,parallel_roughness_iqr_scaled,0.0,0.06391486408041205,0.036934317835416106,0.09716252068683781,equilibrium_files
member_output,2864601_0.437,cross_channel_colocation,0.0,0.08079275068393818,0.04857083986879099,0.10783662056828039,equilibrium_files
member_output,2864601_0.437,bmag_parallel_expected_k,0.03333333333333333,0.06407728284712069,0.01982244660043103,0.11685806995704551,equilibrium_files
member_output,2864601_0.437,compression_parallel_expected_k,0.0,0.04191487366543459,0.02146521102596578,0.08208181298821199,equilibrium_files
member_output,2864601_0.437,curvature_parallel_expected_k,0.0,0.04090201079364211,0.022692239779668652,0.06367448980628596,equilibrium_files
member_output,2864601_0.437,local_shear_abs_mean,0.06666666666666667,0.07571491155365839,0.03596967300114575,0.11495764071262626,equilibrium_files
member_output,2864601_0.437,f_Q_integrand_w25_peak,0.8333333333333334,0.12209485273149775,0.08251485328063869,0.15688175949565739,equilibrium_files
member_output,2864601_0.437,geodesic_abs_w25_peak,0.0,0.030693971840719224,0.02204103317313122,0.06863827275495024,equilibrium_files
member_output,2864601_0.371,a_over_LT,1.0,1.3371059154529794,1.2883591064345787,1.3976566857716495,equilibrium_files
member_output,2864601_0.371,a_over_Ln,1.0,0.6990598372205937,0.6480537508942553,0.7726764202549232,equilibrium_files
member_output,2864601_0.371,log_f_Q,0.0,0.06411902250307963,0.050588568229576095,0.08952424436262621,equilibrium_files
member_output,2864601_0.371,f_stab,0.9,0.1465721617887917,0.09269908885467147,0.18637329740080388,equilibrium_files
member_output,2864601_0.371,log_FSA_grad_x,0.2,0.08814948070815218,0.05846793142232819,0.13246898228911683,equilibrium_files
member_output,2864601_0.371,bad_curvature_compression,0.36666666666666664,0.10831643771249772,0.06859909983341914,0.13473091654886352,equilibrium_files
member_output,2864601_0.371,paper_bad_curvature_feature_mean_square,0.3,0.09260530783400836,0.06787567706859263,0.13557699516867514,equilibrium_files
member_output,2864601_0.371,geodesic_curvature_abs_mean,0.0,0.04808339762129617,0.027620749973772486,0.07671536957242943,equilibrium_files
member_output,2864601_0.371,geodesic_curvature_compression,0.26666666666666666,0.09899785640353947,0.05953239038782195,0.14851727399081274,equilibrium_files
member_output,2864601_0.371,parallel_roughness_iqr_scaled,0.03333333333333333,0.06152073484552814,0.03367733192078256,0.08746568458606988,equilibrium_files
member_output,2864601_0.371,cross_channel_colocation,0.0,0.06080519479248665,0.0450045771922051,0.0943750831585966,equilibrium_files
member_output,2864601_0.371,bmag_parallel_expected_k,0.0,0.05756655323324549,0.023925719040650835,0.11223947250278073,equilibrium_files
member_output,2864601_0.371,compression_parallel_expected_k,0.0,0.03937884555041957,0.021830271117308876,0.07953224103636995,equilibrium_files
member_output,2864601_0.371,curvature_parallel_expected_k,0.0,0.04230062954475533,0.020072199892782607,0.06206181095893392,equilibrium_files
member_output,2864601_0.371,local_shear_abs_mean,0.1,0.06560744406994884,0.039638457794197425,0.1301921782670212,equilibrium_files
member_output,2864601_0.371,f_Q_integrand_w25_peak,0.8333333333333334,0.13256919397375674,0.09163685737878936,0.16398944912454058,equilibrium_files
member_output,2864601_0.371,geodesic_abs_w25_peak,0.0,0.03677924719958152,0.017886376861543932,0.06045362646294392,equilibrium_files
member_output,2864601_0.409,a_over_LT,1.0,1.3607246303853389,1.2830469570862222,1.4136543602273077,equilibrium_files
member_output,2864601_0.409,a_over_Ln,1.0,0.7201485978185771,0.6641955104458276,0.7701562139477306,equilibrium_files
member_output,2864601_0.409,log_f_Q,0.03333333333333333,0.06632875594486003,0.04821828710895253,0.08894893452021617,equilibrium_files
member_output,2864601_0.409,f_stab,0.8333333333333334,0.1579307331985068,0.09591657913124854,0.19862781538258212,equilibrium_files
member_output,2864601_0.409,log_FSA_grad_x,0.13333333333333333,0.07876568609131082,0.05199791073252574,0.11893712194724533,equilibrium_files
member_output,2864601_0.409,bad_curvature_compression,0.43333333333333335,0.10667301446657548,0.06341385436474427,0.14488982130741596,equilibrium_files
member_output,2864601_0.409,paper_bad_curvature_feature_mean_square,0.2,0.09294776247352544,0.06252448115895867,0.12121801940185147,equilibrium_files
member_output,2864601_0.409,geodesic_curvature_abs_mean,0.0,0.05064398507805957,0.014447654170074556,0.07491958132108459,equilibrium_files
member_output,2864601_0.409,geodesic_curvature_compression,0.36666666666666664,0.0992257152377602,0.04989701055146313,0.14368521336654538,equilibrium_files
member_output,2864601_0.409,parallel_roughness_iqr_scaled,0.0,0.06333091173853356,0.035426045550136426,0.09333273852952385,equilibrium_files
member_output,2864601_0.409,cross_channel_colocation,0.03333333333333333,0.0594744809387943,0.04316067015829489,0.10768762973758898,equilibrium_files
member_output,2864601_0.409,bmag_parallel_expected_k,0.06666666666666667,0.05512192175556198,0.02640025272058309,0.12476489914348098,equilibrium_files
member_output,2864601_0.409,compression_parallel_expected_k,0.0,0.03818655363306207,0.018261666686029396,0.06631234289952867,equilibrium_files
member_output,2864601_0.409,curvature_parallel_expected_k,0.0,0.03509804153164693,0.02187178622215616,0.051906174292147125,equilibrium_files
member_output,2864601_0.409,local_shear_abs_mean,0.03333333333333333,0.06274390338006611,0.03318422792807153,0.0969664183695277,equilibrium_files
member_output,2864601_0.409,f_Q_integrand_w25_peak,0.8666666666666667,0.13014227620373464,0.08799105684595279,0.19516175832707933,equilibrium_files
member_output,2864601_0.409,geodesic_abs_w25_peak,0.0,0.030758255458233175,0.019054760513151192,0.05698413976056477,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,a_over_LT,1.0,1.3538115581384154,1.2810119410555416,1.431957730121136,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,a_over_Ln,1.0,0.7176441704051817,0.663904752091102,0.7704981444547011,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,log_f_Q,0.0,0.06210417516402578,0.05243470068476211,0.09248284249180397,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,f_stab,0.8333333333333334,0.13469435110591121,0.08071591175521518,0.19349038120481152,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,log_FSA_grad_x,0.23333333333333334,0.08413786892130734,0.05193946389416988,0.117871102929726,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,bad_curvature_compression,0.43333333333333335,0.10180412311524314,0.06811276350690613,0.13400658034352572,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,paper_bad_curvature_feature_mean_square,0.23333333333333334,0.09537022253514373,0.0705833018475111,0.11864170843541542,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,geodesic_curvature_abs_mean,0.0,0.04947899463476965,0.023879483401557104,0.07945637429600612,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,geodesic_curvature_compression,0.26666666666666666,0.09803722377352425,0.05702125238594845,0.13710118788873596,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,parallel_roughness_iqr_scaled,0.03333333333333333,0.06612252904676454,0.03663484635844354,0.10291982398264055,equilibrium_files
