member_id,layer_index,layer_name,concept,estimand,canonical_function,stable_rows,unstable_rows,encoded_r2,encoded_r2_stable_or_near_floor,encoded_r2_unstable,permuted_r2,nonzero_fraction,outer_split_unit,inner_split_unit,encoded_column,used_column,validity_tag,control_type
2864601_0.437,2,canonical_atrous_relu_pool_3,f_stab,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8900386346851858,0.9065079983814266,0.8816056360649664,-0.0041839766607352225,0.9615384615384616,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,log_compression,"native max(log Q, -2)",invariant_tilde_f,240,760,0.7449985909243819,0.6995974113741317,0.7544751482368195,-0.0032834851587271174,0.8461538461538461,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,bad_curvature,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8327848798782881,0.8309287542193601,0.8322284049339127,-0.002051511774118442,0.46153846153846156,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,geodesic_curvature,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8207037663776053,0.8473490860570023,0.8106695290136539,-0.0032275856786514456,0.9230769230769231,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,parallel_scale,"native max(log Q, -2)",invariant_tilde_f,240,760,0.5611051543329091,0.617030635059787,0.5465853772498152,-0.0005333740236621587,0.6153846153846154,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,cross_channel_colocation,"native max(log Q, -2)",invariant_tilde_f,240,760,0.7915393820507197,0.7537623999117617,0.7929045427704589,-0.0031674884046599683,0.6538461538461539,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,log_FSA_grad_x,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8810775382012361,0.8885174316210096,0.8768864983334939,-0.0007777385212965893,0.9615384615384616,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,local_Qz_concentration,"native max(log Q, -2)",invariant_tilde_f,240,760,0.24444621053661442,-0.08790345817030154,0.33048166430677584,-0.0016377499936375273,0.6923076923076923,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,log10_zonal_phi2,"native max(log Q, -2)",invariant_tilde_f,240,760,0.04651385098276084,-3.1380720705665937,-3.425698818787592,-0.008800919391567241,0.5384615384615384,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,2,canonical_atrous_relu_pool_3,random_concept_control,"native max(log Q, -2)",,,,-0.00414710400474827,,,,,equilibrium_files,equilibrium_files,,,observed-comparison,equilibrium_level_random_concept
2864601_0.437,3,canonical_atrous_relu_pool_4,log_f_Q,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8699366216898822,0.8657783260640579,0.8659707251905502,-0.003222772838918919,0.7419354838709677,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,f_stab,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8172043460211786,0.8537561087848657,0.8003576399098563,-0.0012821006732379736,0.4838709677419355,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,log_compression,"native max(log Q, -2)",invariant_tilde_f,240,760,0.7367813073062373,0.7033230154962606,0.7432964279431735,-0.0007672627840293877,0.7741935483870968,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,bad_curvature,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8695815471615285,0.8185243761073052,0.8769787777706665,-0.0018905386458345497,0.8709677419354839,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,geodesic_curvature,"native max(log Q, -2)",invariant_tilde_f,240,760,0.7430520471354443,0.7516909933051521,0.7368769254915233,-0.001749505689790709,0.8387096774193549,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,parallel_scale,"native max(log Q, -2)",invariant_tilde_f,240,760,0.5166638720745287,0.48646643419920754,0.520449425855682,-0.0004306966191847117,0.6129032258064516,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,cross_channel_colocation,"native max(log Q, -2)",invariant_tilde_f,240,760,0.7641131042724187,0.6281188361838068,0.7746566568711608,-0.0026405139245979647,0.5806451612903226,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,log_FSA_grad_x,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8608369385830873,0.8953235782821082,0.8479639777986904,-0.0012661758733287787,0.9032258064516129,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,local_Qz_concentration,"native max(log Q, -2)",invariant_tilde_f,240,760,0.39336337411958744,-0.07573045051864735,0.514912193288597,-0.0022611525186060355,0.6774193548387096,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,log10_zonal_phi2,"native max(log Q, -2)",invariant_tilde_f,240,760,0.05094941041269718,-3.1044811563011114,-3.451082125748382,-0.01445786499545676,0.5161290322580645,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,3,canonical_atrous_relu_pool_4,random_concept_control,"native max(log Q, -2)",,,,-0.00224409567063244,,,,,equilibrium_files,equilibrium_files,,,observed-comparison,equilibrium_level_random_concept
2864601_0.437,4,canonical_atrous_relu_pool_5,log_f_Q,"native max(log Q, -2)",invariant_tilde_f,240,760,0.8568092815338719,0.8772913346611686,0.8424760225403641,-0.004364976284165101,0.7,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,4,canonical_atrous_relu_pool_5,f_stab,"native max(log Q, -2)",invariant_tilde_f,240,760,0.727070535600705,0.7693808702528198,0.7056977993686214,-0.007060653839449538,0.9,equilibrium_files,equilibrium_files,True,False,observed-comparison,
2864601_0.437,4,canonical_atrous_relu_pool_5,log_compression,"native max(log Q, -2)",invariant_tilde_f,240,760,0.5061255639990938,0.4587444360217715,0.5145979740986488,-0.004392533913888164,0.9,equilibrium_files,equilibrium_files,True,False,observed-comparison,
