concept,role,row_id,equilibrium_file,equilibrium_class,a_over_lt,a_over_ln,geometry_scale,validity_tag
log_f_Q,high,32037,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001638.h5,0,2.6812117099761963,1.8227570056915283,0.2617778766915215,observed-comparison
log_f_Q,high,21755,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002265.h5,0,1.0255244970321655,0.21783094108104706,0.142742477123298,observed-comparison
log_f_Q,high,337,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000085.h5,0,0.7136915326118469,0.017881983891129494,0.2517784167351006,observed-comparison
log_f_Q,high,25816,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000082.h5,0,0.9703093767166138,0.48713794350624084,0.17981897484380718,observed-comparison
log_f_Q,high,13676,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000239.h5,0,3.761033296585083,1.2165076732635498,0.33787656379179065,observed-comparison
log_f_Q,high,21287,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002148.h5,0,2.1995317935943604,0.41264304518699646,0.3875641530941532,observed-comparison
log_f_Q,high,30959,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001369.h5,0,8.42476749420166,0.19620829820632935,0.24100460819960268,observed-comparison
log_f_Q,high,14023,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000326.h5,0,1.1747362613677979,0.24167267978191376,0.3394116604437664,observed-comparison
log_f_Q,high,7895,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001985.h5,0,8.550597190856934,1.6012234687805176,0.1342070216745499,observed-comparison
log_f_Q,high,2557,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000644.h5,0,1.1169103384017944,0.2780963182449341,0.398399316018236,observed-comparison
log_f_Q,high,50660,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-065_generate_flux_tubes_nfp5/nfp5_randomAspect_finiteBeta_maxm4_maxn4_LMN8_003096.h5,0,0.35832521319389343,-0.05701953545212746,0.06172256926931976,observed-comparison
log_f_Q,high,11257,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002832.h5,0,1.1336016654968262,1.1299937963485718,0.3451409717961268,observed-comparison
log_f_Q,high,30941,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001364.h5,0,3.3259198665618896,1.1483784914016724,0.33710040687952497,observed-comparison
log_f_Q,high,22954,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002565.h5,0,1.2936855554580688,0.0066817146725952625,0.17758154553640776,observed-comparison
log_f_Q,high,33735,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002063.h5,0,0.9308458566665649,0.11377539485692978,0.2237997554609084,observed-comparison
log_f_Q,high,11871,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002986.h5,0,0.4549669325351715,0.19443072378635406,0.2419002616110498,observed-comparison
log_f_Q,high,10974,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002761.h5,0,1.1933461427688599,-0.016264362260699272,0.2620963569040606,observed-comparison
log_f_Q,high,20961,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002066.h5,0,1.3234553337097168,-0.0075461105443537235,0.35840724099283394,observed-comparison
log_f_Q,high,16897,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001047.h5,0,1.7719751596450806,-0.10404080152511597,0.30223073125891564,observed-comparison
log_f_Q,high,33091,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001902.h5,0,1.1454038619995117,-0.025077851489186287,0.2203464551891791,observed-comparison
log_f_Q,high,24185,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002873.h5,0,0.5547394752502441,0.8073874115943909,0.19665609530271355,observed-comparison
log_f_Q,high,13767,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-063_generate_flux_tubes_nfp3/nfp3_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000262.h5,0,1.3409820795059204,0.11019267141819,0.2933098900226347,observed-comparison
log_f_Q,high,5817,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001464.h5,0,0.9729540944099426,0.22170254588127136,0.20540406369158745,observed-comparison
