entity,entity_type,convention,a_over_LT_input,n,prediction_mean,prediction_std,prediction_min,prediction_max,fraction_within_0p05_of_floor,r2_against_fixed_target,mean_absolute_error
2864601_0.485,member,training,3.0,1000,2.005201718762517,1.1481629433802758,-2.01893949508667,5.384810447692871,0.017,0.979727275691301,0.10662536134873517
2864601_0.473,member,training,3.0,1000,1.983714217595756,1.1402392863779662,-2.128154993057251,5.790289878845215,0.017,0.980318205734708,0.10773264345829375
2864601_0.189,member,training,3.0,1000,2.0054782915115354,1.1505811596905986,-2.001500368118286,5.822517395019531,0.014,0.9798721056834684,0.10814682705397717
2864601_0.395,member,training,3.0,1000,2.0059489477276804,1.1500808595809962,-2.027155876159668,5.537206649780273,0.016,0.9825961905697672,0.09912118045170791
2864601_0.237,member,training,3.0,1000,2.0034439974054696,1.1518668880970755,-2.0203070640563965,5.493358612060547,0.016,0.9825371941123088,0.10073223497276194
2864601_0.372,member,training,3.0,1000,2.0044604641497137,1.152604407590632,-2.0434048175811768,6.439830303192139,0.016,0.9837367913360368,0.09960580146242864
2864601_0.472,member,training,3.0,1000,2.0085774162113665,1.148777330527223,-2.0749454498291016,6.175534248352051,0.017,0.9832549746690433,0.10151356875081546
2864601_0.436,member,training,3.0,1000,2.004902618646622,1.157062203694483,-2.022407054901123,6.620838165283203,0.015,0.9840506460454546,0.10071567989955656
2864601_0.454,member,training,3.0,1000,2.0076198696792127,1.1517366270384386,-2.030513286590576,5.625439643859863,0.016,0.9833839871768659,0.10150370809133165
2864601_0.377,member,training,3.0,1000,1.9973014135956764,1.1416526350063234,-2.019549608230591,5.5934247970581055,0.014,0.9800342184679469,0.10842025981773622
2864601_0.212,member,training,3.0,1000,2.007824127137661,1.1422722190746006,-2.009859800338745,5.3328375816345215,0.015,0.9828821774797872,0.1032833045378793
2864601_0.123,member,training,3.0,1000,1.9998264211788774,1.1543716401884452,-2.0098462104797363,5.719609260559082,0.016,0.9833728322876637,0.09934479511459358
2864601_0.288,member,training,3.0,1000,2.0069041051566603,1.1434090994202113,-2.0495636463165283,5.524320602416992,0.015,0.9810981510240318,0.10425214674626478
2864601_0.349,member,training,3.0,1000,2.0075651555657386,1.1527987111094296,-2.0062384605407715,5.958477973937988,0.016,0.982989473433493,0.10222791382740251
2864601_0.510,member,training,3.0,1000,2.0213981022834777,1.1707734851063252,-2.0248355865478516,5.915644645690918,0.016,0.9830988170754047,0.1000611169107724
2864601_0.376,member,training,3.0,1000,2.0082195588499308,1.1485519866313447,-2.0688717365264893,5.64244270324707,0.016,0.9784965850953993,0.10874619273399003
2864601_0.305,member,training,3.0,1000,2.0216394476890565,1.1373189627318228,-2.017665386199951,5.854526519775391,0.012,0.975100570784692,0.12018020515074022
2864601_0.496,member,training,3.0,1000,2.0098737394437194,1.1372181312947587,-2.0089657306671143,5.483888149261475,0.014,0.9795708148545669,0.1093018321909476
2864601_0.261,member,training,3.0,1000,1.9995418903939426,1.1603906724661448,-2.001877546310425,5.986015796661377,0.017,0.9845015557589791,0.09788867680053227
2864601_0.252,member,training,3.0,1000,1.986255136243999,1.1547846617268105,-2.0527608394622803,5.617766857147217,0.018,0.9814756023569798,0.10363276882772333
2864601_0.208,member,training,3.0,1000,1.999536672450602,1.1385419938198236,-1.9960612058639526,5.4921875,0.02,0.9832321940193225,0.09868374494160526
2864601_0.230,member,training,3.0,1000,2.0070649582892655,1.1438380481537693,-2.0030124187469482,5.929050922393799,0.015,0.9834491318660065,0.09920597084541805
2864601_0.452,member,training,3.0,1000,1.9993242990449072,1.1424098810448298,-2.003026008605957,5.592329025268555,0.017,0.9809955611044486,0.10344339375500568
2864601_0.498,member,training,3.0,1000,2.0032816657572985,1.1526862326985714,-2.0176916122436523,5.671334266662598,0.019,0.9755871566079528,0.11078694955189712
2864601_0.271,member,training,3.0,1000,2.016077552150935,1.1552724947819446,-2.03459095954895,5.816319465637207,0.014,0.979554042505499,0.10863890352542512
2864601_0.450,member,training,3.0,1000,2.001153077751398,1.1509047172283813,-2.0336272716522217,5.586982250213623,0.019,0.9816825918159315,0.10516608465160243
2864601_0.46,member,training,3.0,1000,2.02809052079916,1.1573492615913654,-1.9917449951171875,5.697840213775635,0.016,0.9834617515147591,0.09959333625133149
2864601_0.308,member,training,3.0,1000,2.0038628371953964,1.1600675759613635,-2.0100879669189453,5.629008769989014,0.016,0.9798003210487461,0.10870121608371847
