entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.434,member,fixed,stable_near_floor,23,64,1.7622242803158966e-07,2.278168406262181e-07,4.76837158203125e-07
2864601_0.434,member,fixed,unstable,977,32,1.9286098597359634e-07,2.807011001062952e-07,2.2351741790771484e-06
2864601_0.434,member,fixed,unstable,977,64,1.8978009082399834e-07,2.794140319819593e-07,1.6689300537109375e-06
2864601_0.460,member,varied,all,1000,32,2.676248550415039e-07,4.2214860795595586e-07,2.384185791015625e-06
2864601_0.460,member,varied,all,1000,64,2.7632713317871094e-07,4.3375025294678356e-07,2.9802322387695312e-06
2864601_0.460,member,varied,stable_near_floor,240,32,1.3460715611775716e-07,2.705836427624805e-07,2.2649765014648438e-06
2864601_0.460,member,varied,stable_near_floor,240,64,1.5621383984883625e-07,3.20542415579659e-07,2.9802322387695312e-06
2864601_0.460,member,varied,unstable,760,32,3.096304441753187e-07,4.5974495982441473e-07,2.384185791015625e-06
2864601_0.460,member,varied,unstable,760,64,3.1425764686182923e-07,4.637942719495535e-07,2.6226043701171875e-06
2864601_0.460,member,fixed,all,1000,32,2.4202466011047365e-07,3.5576159571500626e-07,3.874301910400391e-06
2864601_0.460,member,fixed,all,1000,64,2.5281310081481935e-07,5.393553463403902e-07,1.329183578491211e-05
2864601_0.460,member,fixed,stable_near_floor,23,32,1.1402627696161685e-07,2.049748786976564e-07,7.152557373046875e-07
2864601_0.460,member,fixed,stable_near_floor,23,64,1.5549037767493207e-07,2.3317797037211692e-07,5.960464477539062e-07
2864601_0.460,member,fixed,unstable,977,32,2.4503792808634233e-07,3.585481569106247e-07,3.874301910400391e-06
2864601_0.460,member,fixed,unstable,977,64,2.551042191691872e-07,5.444928851289177e-07,1.329183578491211e-05
