function,method,gradient_set,stratifier,stratum_value,sample_count,channel,channel_name,median_signed,median_absolute,sign_agreement
invariant_tilde_f,ig_low_pass,varied,a_over_ln,low,334,2,cvdrift,1.2691766437474153e-05,0.0012156976633139686,0.7072916666666668
invariant_tilde_f,ig_low_pass,varied,a_over_ln,low,334,3,gbdrift0_over_shat,0.00013157160240897178,0.0026516149215584004,0.734375
invariant_tilde_f,ig_low_pass,varied,a_over_ln,low,334,4,gds2,-0.00010936062208759663,0.0013671030064518943,0.709375
invariant_tilde_f,ig_low_pass,varied,a_over_ln,low,334,5,gds21_over_shat,-4.2382232313794654e-05,0.00158798789787347,0.7104166666666667
invariant_tilde_f,ig_low_pass,varied,a_over_ln,low,334,6,gds22_over_shat_squared,-1.902291950381195e-05,0.0009901673160277026,0.7114583333333334
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,0,bmag,2.5325220785877944e-06,0.0004412332957992697,0.7958333333333334
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,1,gbdrift,-1.529310369537769e-05,0.001611858919828097,0.7770833333333332
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,2,cvdrift,4.644773195579851e-06,0.0007867439653225578,0.6916666666666668
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,3,gbdrift0_over_shat,8.059758858543373e-05,0.001997995398417335,0.7489583333333334
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,4,gds2,-1.1933951512248003e-05,0.0007373838055110419,0.6843749999999998
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,5,gds21_over_shat,-2.9984322770880257e-05,0.0011616140703723397,0.734375
invariant_tilde_f,ig_low_pass,varied,a_over_ln,medium,333,6,gds22_over_shat_squared,-1.798429741953627e-05,0.0006927997239647433,0.7531249999999999
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,0,bmag,2.0351909089872834e-05,0.00036691027012510465,0.7145833333333335
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,1,gbdrift,-1.5911674161272594e-05,0.0016861305244664866,0.7864583333333334
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,2,cvdrift,1.826280480122923e-05,0.0008532029615415383,0.7875
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,3,gbdrift0_over_shat,0.00011916880140452149,0.0019435604785939694,0.7312499999999998
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,4,gds2,-0.0001264455753321262,0.0013518678622350148,0.6906249999999999
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,5,gds21_over_shat,-4.628379632130552e-05,0.0010001597549748437,0.6968749999999999
invariant_tilde_f,ig_low_pass,varied,a_over_ln,high,333,6,gds22_over_shat_squared,2.0033165811468745e-05,0.000587414760042345,0.7166666666666667
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,0,bmag,4.103798605113122e-05,0.0016204935403038752,0.7041666666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,1,gbdrift,7.316587612421796e-05,0.004436197420466486,0.7770833333333332
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,2,cvdrift,3.469149849391099e-05,0.002179603021630266,0.759375
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,3,gbdrift0_over_shat,0.0002651525637234351,0.00478842826584036,0.7385416666666668
