member_id,function,method,rows,shift,prediction_invariance_relative_rms,co_shifted_equivariance_relative_rms,fixed_baseline_equivariance_relative_rms,baseline_convention,validity_tag,estimator_backend
2864601_0.340,original_f,periodic_mask,8,17,0.04937012121081352,1.0338854789733887,1.1091257333755493,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.340,invariant_tilde_f,ig_low_pass,8,17,8.261738315695766e-08,2.7404319098423002e-06,1.9919923543930054,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.340,invariant_tilde_f,periodic_mask,8,17,8.261738315695766e-08,1.8674774082683143e-07,0.9436464905738831,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.296,original_f,ig_low_pass,8,17,0.01149822399020195,0.6538092494010925,2.161510944366455,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.296,original_f,periodic_mask,8,17,0.01149822399020195,0.7581751346588135,0.9606831073760986,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.296,invariant_tilde_f,ig_low_pass,8,17,4.361129768426508e-08,8.32079240353778e-05,2.1605427265167236,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.296,invariant_tilde_f,periodic_mask,8,17,4.361129768426508e-08,1.436066668247804e-05,0.9176937937736511,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.270,original_f,ig_low_pass,8,17,0.03643080219626427,1.0317450761795044,2.283174991607666,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.270,original_f,periodic_mask,8,17,0.03643080219626427,0.9660018682479858,1.0236001014709473,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.270,invariant_tilde_f,ig_low_pass,8,17,9.573157910836017e-08,4.849083052249625e-05,2.106968641281128,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.270,invariant_tilde_f,periodic_mask,8,17,9.573157910836017e-08,1.8753473796095932e-07,0.9507743120193481,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.352,original_f,ig_low_pass,8,17,0.034260962158441544,0.906282901763916,2.9519145488739014,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.352,original_f,periodic_mask,8,17,0.034260962158441544,0.9582163691520691,1.060154914855957,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.352,invariant_tilde_f,ig_low_pass,8,17,1.3173369950436609e-07,2.1865827875444666e-05,2.5144875049591064,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.352,invariant_tilde_f,periodic_mask,8,17,1.3173369950436609e-07,0.00040080887265503407,1.0782761573791504,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
