function,method,stratum,row_count,fraction,original_output,baseline_output,deletion_output,insertion_output,random_deletion_output,random_insertion_output,deletion_support_drift_rms,insertion_support_drift_rms,random_deletion_support_drift_rms,random_insertion_support_drift_rms,deletion_support_warning,insertion_support_warning,random_deletion_support_warning,random_insertion_support_warning,validity_tag
original_f,scaled_gradient,all,128,0.0,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.0,0.0,0.0,0.0,0.706787109375,0.920166015625,0.706787109375,0.920166015625,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,all,128,0.05,0.4387986958026886,0.3949170708656311,0.16850827634334564,0.44074153900146484,0.3982185423374176,0.37737083435058594,0.47673025727272034,0.47673025727272034,0.9466338157653809,0.9466338157653809,0.68701171875,0.7811279296875,0.6617431640625,0.7811279296875,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,all,128,0.1,0.4387986958026886,0.3949170708656311,0.08530369400978088,0.4746113419532776,0.36658161878585815,0.3351207375526428,0.6416891813278198,0.6416891813278198,1.1296679973602295,1.1296679973602295,0.6688232421875,0.7425537109375,0.666015625,0.7626953125,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,all,128,0.25,0.4387986958026886,0.3949170708656311,0.045278824865818024,0.5265258550643921,0.2256884127855301,0.2312576174736023,1.041884422302246,1.041884422302246,1.8385337591171265,1.8385337591171265,0.650634765625,0.68408203125,0.667724609375,0.69384765625,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,all,128,0.5,0.4387986958026886,0.3949170708656311,0.12813358008861542,0.5106090307235718,0.14157404005527496,0.08985614776611328,1.8618556261062622,1.8618556261062622,2.859952211380005,2.859952211380005,0.6590576171875,0.6600341796875,0.6942138671875,0.68603515625,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,all,128,1.0,0.4387986958026886,0.3949170708656311,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,3.8091042041778564,3.8091042041778564,3.8091042041778564,3.8091042041778564,0.920166015625,0.706787109375,0.920166015625,0.706787109375,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,stable_or_near_floor,33,0.0,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,0.0,0.0,0.0,0.0,0.7296401515151515,0.9630681818181818,0.7296401515151515,0.9630681818181818,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,stable_or_near_floor,33,0.05,-1.966220736503601,-1.4591144323349,-1.927793025970459,-1.5328302383422852,-1.9607555866241455,-1.4920923709869385,0.42709073424339294,0.42709073424339294,0.6339223384857178,0.6339223384857178,0.7102272727272727,0.7637310606060606,0.6666666666666666,0.8361742424242424,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,stable_or_near_floor,33,0.1,-1.966220736503601,-1.4591144323349,-1.8636927604675293,-1.5477964878082275,-1.9741843938827515,-1.5178298950195312,0.602669894695282,0.602669894695282,1.2164053916931152,1.2164053916931152,0.6964962121212122,0.7272727272727273,0.6581439393939394,0.8158143939393939,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,stable_or_near_floor,33,0.25,-1.966220736503601,-1.4591144323349,-1.7538331747055054,-1.6796941757202148,-1.89870023727417,-1.7147053480148315,1.0027233362197876,1.0027233362197876,1.5673575401306152,1.5673575401306152,0.6690340909090909,0.7234848484848485,0.7163825757575758,0.7774621212121212,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,stable_or_near_floor,33,0.5,-1.966220736503601,-1.4591144323349,-1.693088412284851,-1.8263874053955078,-1.7953002452850342,-1.8674654960632324,2.046872138977051,2.046872138977051,2.203371286392212,2.203371286392212,0.6946022727272727,0.6983901515151515,0.7173295454545454,0.7504734848484849,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,stable_or_near_floor,33,1.0,-1.966220736503601,-1.4591144323349,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,3.4144537448883057,3.4144537448883057,3.4144537448883057,3.4144537448883057,0.9630681818181818,0.7296401515151515,0.9630681818181818,0.7296401515151515,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,unstable,95,0.0,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,0.0,0.0,0.0,0.0,0.6988486842105263,0.9052631578947369,0.6988486842105263,0.9052631578947369,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,unstable,95,0.05,1.274226427078247,1.0389491319656372,0.8966971039772034,1.126297950744629,1.2471284866333008,1.0263698101043701,0.49280476570129395,0.49280476570129395,0.9024741053581238,0.9024741053581238,0.6789473684210526,0.7871710526315789,0.6659539473684211,0.7578947368421053,deliberately_off_manifold_diagnostic
original_f,scaled_gradient,unstable,95,0.1,1.274226427078247,1.0389491319656372,0.7623235583305359,1.1771320104599,1.1899808645248413,0.9917353391647339,0.6546992659568787,0.6546992659568787,1.2702701091766357,1.2702701091766357,0.6592105263157895,0.7478618421052632,0.6491776315789474,0.743421052631579,deliberately_off_manifold_diagnostic
