function,method,full_steps,half_steps,absolute_rank_correlation,mean_absolute_difference
original_f,ig_robust_constant,64,32,0.9854664129558511,0.0004527424753177911
original_f,ig_matched_observed,64,32,0.9812481210455721,0.0007274565286934376
original_f,ig_medoid,64,32,0.9838847219731477,0.0006345688016153872
original_f,ig_low_pass,64,32,0.9983605215824246,3.5476194170769304e-05
invariant_tilde_f,ig_robust_constant,64,32,0.9960667688528567,0.00018375202489551157
invariant_tilde_f,ig_matched_observed,64,32,0.9927515572194956,0.0003425894828978926
invariant_tilde_f,ig_medoid,64,32,0.9940849615911737,0.0002797271590679884
invariant_tilde_f,ig_low_pass,64,32,0.9992501714069515,1.966697527677752e-05
