candidate,outcome,regime,matched_pairs,mean_high_minus_low,ci95_lower,ci95_upper,median_candidate_contrast,median_nuisance_distance_iqr_units,max_abs_nuisance_smd_before,max_abs_nuisance_smd_after,bootstrap_replicates,bootstrap_unit,interval_interpretable,interval_interpretability_minimum_pairs,validity_tag,causal_claim_permitted
f_Q_integrand_w25_peak,target_native,all,185,1.5978442611361576,1.45820411577138,1.7770492066211392,8.447738640421655,0.9828663871197265,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,target_native,either_stable_or_near_floor,3,4.853135426839192,4.744588375091553,4.978133916854858,19.36447477474231,1.7460013341444183,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_Q_integrand_w25_peak,target_native,both_unstable,182,1.544185615547646,1.4016665228651157,1.6932905681344301,8.341867128322829,0.9767704119748936,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,log_Q,all,185,1.6029100155006106,1.4521368038973708,1.7569915199490276,8.447738640421655,0.9828663871197265,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,log_Q,either_stable_or_near_floor,3,5.165522989603152,4.83668399956407,5.603231894327185,19.36447477474231,1.7460013341444183,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_Q_integrand_w25_peak,log_Q,both_unstable,182,1.5441856258176019,1.4110011640507631,1.679224843549416,8.341867128322829,0.9767704119748936,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,log10_Q_stds,all,185,0.6961349747193711,0.6268018324636753,0.7642880365451844,8.447738640421655,0.9828663871197265,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,log10_Q_stds,either_stable_or_near_floor,3,2.2433581305290375,2.1323889569256456,2.4334526925306017,19.36447477474231,1.7460013341444183,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_Q_integrand_w25_peak,log10_Q_stds,both_unstable,182,0.6706312963269041,0.6125153878433126,0.7366902926905536,8.341867128322829,0.9767704119748936,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,log10_zonal_phi2,all,185,0.3524254679870891,0.2525846748608653,0.47156472627242363,8.447738640421655,0.9828663871197265,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,log10_zonal_phi2,either_stable_or_near_floor,3,3.6052845289650755,3.0999799264998127,3.881317360301241,19.36447477474231,1.7460013341444183,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_Q_integrand_w25_peak,log10_zonal_phi2,both_unstable,182,0.2988069120369025,0.1869699819948047,0.4077939265567431,8.341867128322829,0.9767704119748936,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,Qz_localization,all,185,1.578933240019976,1.3457462571816061,1.8052015081478947,8.447738640421655,0.9828663871197265,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,Qz_localization,either_stable_or_near_floor,3,3.6402891187457818,1.299923662406484,4.956496482551003,19.36447477474231,1.7460013341444183,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_Q_integrand_w25_peak,Qz_localization,both_unstable,182,1.544954846414606,1.3032683393548345,1.8071329884058287,8.341867128322829,0.9767704119748936,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,Qz_positive_fraction,all,185,0.0,0.0,0.0,8.447738640421655,0.9828663871197265,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_Q_integrand_w25_peak,Qz_positive_fraction,either_stable_or_near_floor,3,0.0,0.0,0.0,19.36447477474231,1.7460013341444183,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_Q_integrand_w25_peak,Qz_positive_fraction,both_unstable,182,0.0,0.0,0.0,8.341867128322829,0.9767704119748936,3.41483158213731,4.150938629839606,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,target_native,all,202,1.4861600168157683,1.3016728810785916,1.6692195465413064,0.7948029506479712,0.8235700473910277,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,target_native,either_stable_or_near_floor,4,5.1800989508628845,4.816006992757321,5.494836091995239,1.0086628782567097,1.5823282092014197,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_stab,target_native,both_unstable,198,1.4115349878451193,1.2420020279227322,1.5596110126698,0.7902536840354346,0.8091307763320674,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,log_Q,all,202,1.4939573064685692,1.2995681243356658,1.671564763437921,0.7948029506479712,0.8235700473910277,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,log_Q,either_stable_or_near_floor,4,5.573861812275579,5.2631037679197945,6.14222844967373,1.0086628782567097,1.5823282092014197,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_stab,log_Q,both_unstable,198,1.4115349932199426,1.2378502659040889,1.576059704877723,0.7902536840354346,0.8091307763320674,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,log10_Q_stds,all,202,0.6488174143983447,0.568354313390294,0.7250707614760101,0.7948029506479712,0.8235700473910277,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
