candidate,outcome,gradient_set,regime,rows,spearman_rho,ci95_lower,ci95_upper,bootstrap_replicates,bootstrap_unit,validity_tag,claim_grade
f_stab,Qz_positive_fraction,fixed,stable_or_near_floor,23,0.0969936489762299,-0.11053178070456106,0.3202037608910453,500,equilibrium_files,observed-comparison,observational-physical
f_stab,Qz_positive_fraction,fixed,unstable,977,-0.01421978781478353,-0.028692919940445726,0.0,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,target_native,fixed,all,1000,0.8078416864672553,0.777057810331127,0.8352448117275125,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,target_native,fixed,stable_or_near_floor,23,-0.06572716413465648,-0.14152894643611408,0.0,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,target_native,fixed,unstable,977,0.795064427856304,0.764111776581638,0.8256785704010893,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log_Q,fixed,all,1000,0.8078568480259665,0.7775517403266249,0.8370204371784784,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log_Q,fixed,stable_or_near_floor,23,0.2121736071355029,0.0,0.47841538721893745,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log_Q,fixed,unstable,977,0.795064427856304,0.7614867156261689,0.8246952438827185,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log10_Q_stds,fixed,all,1000,0.8078568480259665,0.7759112702759942,0.8362462467542447,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log10_Q_stds,fixed,stable_or_near_floor,23,0.2121736071355029,0.0,0.4168857250047553,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log10_Q_stds,fixed,unstable,977,0.795064427856304,0.7667087266777008,0.8244260317605935,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log10_zonal_phi2,fixed,all,1000,0.28260285683369546,0.2151058041728769,0.3512363963337304,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,log10_zonal_phi2,fixed,stable_or_near_floor,23,0.3293742663151141,0.0,0.5705113637645365,500,equilibrium_files,observed-comparison,observational-physical
