candidate,pair_id,high_row_id,low_row_id,high_equilibrium_file,low_equilibrium_file,nuisance_distance_iqr_units,candidate_high,candidate_low,candidate_contrast,high_stable_or_near_floor,low_stable_or_near_floor,max_abs_nuisance_smd_before,max_abs_nuisance_smd_after,nuisance_features,validity_tag,target_native_high_minus_low,log_Q_high_minus_low,log10_Q_stds_high_minus_low,log10_zonal_phi2_high_minus_low,Qz_localization_high_minus_low,Qz_positive_fraction_high_minus_low
geodesic_curvature_compression,geodesic_curvature_compression:0134,79312,77680,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000133.h5,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000051.h5,0.9623624349433914,0.3964512997507906,0.09665709732295134,0.2997942024278392,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.546268343925476,1.5462681966110345,0.6715357453306648,-0.146869529093705,0.7476732185326542,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0135,54470,61470,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000848.h5,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_002599.h5,0.9624598359386811,0.33110598223069226,0.1315514030650772,0.19955457916561506,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,2.98575896024704,2.9857589121113586,1.2966986198234194,1.4927701631726276,0.22798278918625536,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0136,52498,76092,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000355.h5,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_003057.h5,0.9649816762417698,0.4024041524716735,0.08901415994833489,0.3133899925233386,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.2578104734420776,1.257810420080172,0.5462601247212299,0.61724897452763,-0.4033782865548048,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0137,95566,90585,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_002679.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001433.h5,0.9789821467775662,0.4573735994757089,0.14454374017166083,0.31282985930404805,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.7097116708755493,1.7097117400021413,0.7425183743281372,0.498930205039544,0.6844639289204293,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0138,92921,79200,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_002017.h5,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000127.h5,0.979349415358207,0.5586861180682573,0.09453188841776668,0.46415422965049064,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.0773621797561646,1.0773622206063043,0.46789246742035184,-0.006006122720146556,-1.3202488095863996,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0139,3737,25816,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000940.h5,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000082.h5,0.9919134646259773,0.40705880728037763,0.1472679932298248,0.2597908140505528,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.3390506505966187,1.339050703649673,0.5815423315837195,0.2806551792510955,-2.793339511478767,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0140,94634,1267,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_002446.h5,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000319.h5,1.0133583598956202,0.3927585171392521,0.12221221554578121,0.2705463015934709,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.1437643766403198,1.1437643376297706,0.4967305404303374,-0.5524600386025283,0.025520019109435355,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0141,100411,88956,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_003890.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001022.h5,1.0297031950846187,0.4643950770832474,0.11014776512795284,0.3542473119552946,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.273162603378296,1.2731626960866624,0.5529275334755042,1.8408647248292047,0.3008642092900753,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0142,81242,79054,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000229.h5,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000120.h5,1.035579162209897,0.4449523243856825,0.15162841426175522,0.2933239101239273,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.3767446279525757,1.3767444781791864,0.5979125298639927,0.08806221270837367,-0.05725646572415166,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0143,81328,80456,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000233.h5,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000190.h5,1.0465948022877885,0.3776077699679811,0.12961894079221334,0.24798882917576778,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,1.2454513311386108,1.245451379488015,0.5408926615904379,0.36354574456547617,0.5381056148031675,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0144,64670,78745,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000200.h5,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000104.h5,1.0493012240062713,0.37927658298162364,0.08728623917756506,0.2919903438040586,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,0.4783153533935547,0.47831542446558184,0.20772974945461398,-0.08806087288245168,0.010568786362196159,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0145,90804,89374,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001488.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001127.h5,1.0530986636828115,0.3351445308099163,0.08551243936149155,0.24963209144842474,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,3.0541098739486188,3.054109805588318,1.3263830356936197,0.8923742868752113,1.0404990416154023,0.0
geodesic_curvature_compression,geodesic_curvature_compression:0146,1570,7975,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000395.h5,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002005.h5,1.0913947348744901,0.5071673797648033,0.10126216810203165,0.40590521166277166,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,3.039526253938675,3.0395261510441007,1.3200494349990828,1.608048134844906,3.680906595048572,0.0
