candidate,case_type,order,expected_population_sign,pair_id,high_row_id,low_row_id,high_equilibrium_file,low_equilibrium_file,nuisance_distance_iqr_units,candidate_high,candidate_low,candidate_contrast,high_stable_or_near_floor,low_stable_or_near_floor,max_abs_nuisance_smd_before,max_abs_nuisance_smd_after,nuisance_features,validity_tag,target_native_high_minus_low,log_Q_high_minus_low,log10_Q_stds_high_minus_low,log10_zonal_phi2_high_minus_low,Qz_localization_high_minus_low,Qz_positive_fraction_high_minus_low
geodesic_curvature_compression,supporting,1,1,geodesic_curvature_compression:0179,57550,86819,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001619.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000482.h5,1.5513579562343929,0.3750470476146426,0.05436178228904054,0.32068526532560204,False,True,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.6310954093933105,16.82011417409078,7.304882770790297,13.409539979828724,-0.08498197100300553,0.0
geodesic_curvature_compression,supporting,2,1,geodesic_curvature_compression:0177,69892,138,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001506.h5,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000034.h5,1.4956983483737478,0.5008658120355033,0.048859904361185584,0.4520059076743177,False,True,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.565272092819214,6.091758959547782,2.645617301216296,5.656380769523111,1.236625778748081,0.0
geodesic_curvature_compression,supporting,3,1,geodesic_curvature_compression:0158,51375,87891,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000075.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000754.h5,1.2727651082428468,0.33855362607295764,0.039877974704085474,0.29867565136887214,False,True,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.42497181892395,5.062860635915428,2.1987724368232584,2.6267078606904297,1.853362286953125,0.0
geodesic_curvature_compression,supporting,4,1,geodesic_curvature_compression:0197,64714,60614,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000211.h5,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_002385.h5,1.9703742105769733,0.7942466386704125,0.13013016754198334,0.6641164711284291,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.358265399932861,4.358265427556612,1.892770625857553,3.880927002469461,0.6136736088053862,0.0
geodesic_curvature_compression,supporting,5,1,geodesic_curvature_compression:0187,65613,87563,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000435.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000670.h5,1.6328671824566556,0.35177069940118216,0.007889698173984593,0.34388100122719756,False,True,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.293889284133911,4.317860783479741,1.8752231118917029,2.4470756105176728,0.868584899881635,0.0
geodesic_curvature_compression,contradicting,1,1,geodesic_curvature_compression:0009,95041,88368,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_002548.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000875.h5,0.35229560111026154,0.3339897450212206,0.1552113589755133,0.17877838604570728,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,-1.3793082237243652,-1.3793082272978818,-0.5990259519592263,1.1427902296682122,-5.307753756276568,0.0
geodesic_curvature_compression,contradicting,2,1,geodesic_curvature_compression:0063,96012,83025,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_002790.h5,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000319.h5,0.5327733294434777,0.33137152382218754,0.13512323562783393,0.1962482881943536,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,-1.088538408279419,-1.0885386188083155,-0.4727463154870386,0.21558967300430631,-2.448722940504288,0.0
geodesic_curvature_compression,contradicting,3,1,geodesic_curvature_compression:0041,65165,66723,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000323.h5,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000713.h5,0.46621537838827154,0.3269464209759992,0.12677953513740817,0.20016688583859102,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,-0.787665605545044,-0.7876656765004548,-0.3420788568887392,-0.03512834794344544,-1.2813375339180813,0.0
geodesic_curvature_compression,contradicting,4,1,geodesic_curvature_compression:0129,68768,87702,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001225.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000705.h5,0.9100963581898631,0.4028436654709049,0.1587579676904587,0.2440856977804462,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,-0.7002573013305664,-0.7002572945169558,-0.3041178789212142,-0.2410244922522924,0.6928321659354508,0.0
geodesic_curvature_compression,contradicting,5,1,geodesic_curvature_compression:0074,92789,89236,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001984.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_001092.h5,0.5516944908241496,0.37157769543044267,0.14530153529681814,0.22627616013362453,False,False,1.206343433131149,1.068121850701722,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,-0.5237846374511719,-0.5237847011383954,-0.22747680540974913,-0.03491763464418002,-0.2749054563021227,0.0
f_Q_integrand_w25_peak,supporting,1,1,f_Q_integrand_w25_peak:0182,93846,11016,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_002249.h5,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002771.h5,1.9480983980237874,26.11632009866534,0.3859608121118251,25.730359286553515,False,True,3.41483158213731,4.150938629839606,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|geodesic_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.978133916854858,5.0566530749181995,2.1960765273360847,3.834556300094173,1.299923662406484,0.0
f_Q_integrand_w25_peak,supporting,2,1,f_Q_integrand_w25_peak:0159,77437,86782,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000038.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000473.h5,1.6257040969020569,19.404473542109443,0.3933938412913246,19.01107970081812,False,True,3.41483158213731,4.150938629839606,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|geodesic_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.836683988571167,4.83668399956407,2.1005451717204258,3.8813173603012414,5.02416643565042,0.0
f_Q_integrand_w25_peak,supporting,3,1,f_Q_integrand_w25_peak:0173,85565,86008,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000167.h5,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_000278.h5,1.7460013341444183,19.698626371727435,0.33415159698512814,19.36447477474231,False,True,3.41483158213731,4.150938629839606,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|geodesic_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.744588375091553,5.603231894327186,2.4334526925306017,3.0999799264998127,4.596777258180442,0.0
f_Q_integrand_w25_peak,supporting,4,1,f_Q_integrand_w25_peak:0178,84649,54481,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000400.h5,20241115-01-random_heliotrons/20241115-01-022_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_noTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000851.h5,1.880724078787912,13.062158705939325,0.5841218092044748,12.47803689673485,False,False,3.41483158213731,4.150938629839606,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|geodesic_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.211487293243408,4.211487264909716,1.8290256797561084,1.9426794461384138,-1.3006864186168912,0.0
f_Q_integrand_w25_peak,supporting,5,1,f_Q_integrand_w25_peak:0174,80512,26622,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000193.h5,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-064_generate_flux_tubes_nfp4/nfp4_randomAspect_finiteBeta_maxm4_maxn4_LMN8_000283.h5,1.7922558789921519,17.448364716652275,1.489510717439398,15.958853999212877,False,False,3.41483158213731,4.150938629839606,log_f_Q|f_stab|log_FSA_grad_x|bad_curvature_compression|geodesic_curvature_compression|parallel_roughness_iqr_scaled|nfp|iota|shat|aspect|rho|aspect/rho|equilibrium_class_1|equilibrium_class_2|equilibrium_class_3|equilibrium_class_4,observed-comparison,4.162850379943848,4.162850501778615,1.8079030019106352,1.7591011561393732,0.6257908687948932,0.0
